Name,ID,DaysSurvived,Status,Type,Price,AvgRate,NumRate,Category,Size,NumLang,AgeRate,SysRequirements
Disney Infinity: Toy Box 2.0 Disney 895324943,895324943,6,1,free,0,4,6372,Games,3620.374592,12,09+,med
"Grim Fandango Remastered Double Fine Productions, Inc. 978524071",978524071,6,1,paid,9.99,4,122,Games,2944.193018,1,12+,high
"Broken Age _ Double Fine Productions, Inc. 887649233",887649233,6,1,paid,9.99,4.5,801,Games,2413.126817,6,09+,med
"Star Wars•: Knights of the Old Republic_ Aspyr Media, Inc. 611436052",611436052,1,1,paid,9.99,4,7550,Games,1893.144845,1,12+,med
XCOM•: Enemy Within 2K 881270303,881270303,2,1,paid,9.99,4,1646,Games,1872.299819,9,17+,med
"Infinity Blade III Chair Entertainment Group, LLC 610003290",610003290,10,1,paid,0,4,32362,Games,1843.486852,18,12+,med
"Infinity Blade III Chair Entertainment Group, LLC 610003290",610003290,4,1,free,0,4,32339,Games,1843.486852,18,12+,med
"Transistor Supergiant Games, LLC 948857526",948857526,7,1,paid,9.99,4.5,505,Games,1754.536246,1,12+,high
Her Story Sam Barlow 952658953,952658953,7,1,paid,4.99,4.5,190,Games,1679.977468,1,17+,med
NBA 2K15 2K 898164624,898164624,321,1,paid,7.99,3,14002,Games,1559.600747,1,09+,med
Grand Theft Auto: San Andreas Rockstar Games 763692274,763692274,373,0,paid,4.99,4,23365,Games,1553.146345,6,17+,med
FINAL FANTASY VII SQUARE ENIX INC 1021566244,1021566244,17,1,paid,15.99,4,968,Games,1552.852338,5,12+,high
Gangstar Vegas Gameloft 571393580,571393580,10,1,paid,0,4.5,24519,Games,1472.309871,13,17+,med
Gangstar Vegas Gameloft 571393580,571393580,3,1,free,0,4.5,24517,Games,1472.309871,13,17+,med
Implosion - Never Lose Hope Rayark Inc. 870322730,870322730,7,1,paid,4.99,4.5,793,Games,1289.101953,1,12+,med
FIFA 15 Ultimate Team by EA SPORTS Electronic Arts 870794720,870794720,40,1,free,0,4.5,96615,Games,1221.593218,12,04+,med
LEGO• Batman: Beyond Gotham Warner Bros. 981305941,981305941,310,1,paid,4.99,4,366,Games,1167.299819,1,09+,high
Asphalt 8: Airborne Gameloft 610391947,610391947,22,1,free,0,4.5,137399,Games,1159.27194,15,12+,med
LEGO• Marvel Super Heroes: Universe in Peril Warner Bros. 737006024,737006024,17,1,paid,4.99,4,1361,Games,1132.405009,1,09+,med
The LEGO• Movie Video Game Warner Bros. 901999406,901999406,149,1,paid,4.99,4,290,Games,1107.380264,1,04+,med
WWE Immortals Warner Bros. 941421328,941421328,150,1,free,0,4.5,21760,Games,1105.426188,12,12+,med
Godfire: Rise of Prometheus Vivid Games S.A. 669376184,669376184,8,1,paid,2.99,4,627,Games,1082.733509,5,12+,med
"Haunted Legends: The Stone Guest - A Hidden Objects Detective Game (Full) Big Fish Games, Inc 1003892259",1003892259,1,1,paid,2.99,4.5,11,Games,1023.706973,5,09+,med
Deemo Rayark Inc. 700637744,700637744,267,1,paid,1.99,5,12093,Games,987.2343035,1,04+,low
"Call of Duty•: Strike Team Activision Publishing, Inc. 655619282",655619282,113,1,paid,6.99,4,7963,Games,974.992527,5,17+,med
MORTAL KOMBAT X Warner Bros. 949701151,949701151,325,1,free,0,4.5,76090,Games,904.2644415,13,17+,med
Forgotten Memories: Alternate Realities Psychose Interactive Inc. 834715612,834715612,7,1,paid,5.99,4,435,Games,885.0984945,1,12+,med
Grand Theft Auto: Vice City Rockstar Games 578448682,578448682,9,1,paid,2.99,4,18147,Games,881.3410196,8,17+,low
R.B.I. Baseball 15 MLB.com 979599928,979599928,240,1,paid,4.99,3,1168,Games,854.3866272,1,04+,med
"Hearthstone: Heroes of Warcraft Blizzard Entertainment, Inc. 625257520",625257520,11,1,free,0,4,26414,Games,827.3884783,10,12+,med
Injustice: Gods Among Us Warner Bros. 575658129,575658129,2,1,free,0,4.5,558048,Games,826.7817602,13,12+,med
The Dark Knight Rises _ Gameloft 522704697,522704697,8,1,paid,6.99,4,6970,Games,821.8074646,12,12+,med
Real Racing 3 Electronic Arts 556164008,556164008,67,1,free,0,4.5,136648,Games,815.7022371,12,04+,med
Tales from the Borderlands Telltale Inc 934090827,934090827,7,1,paid,4.99,4,342,Games,804.7527084,1,17+,med
Tales From Deep Space Amazon Game Studios 980307863,980307863,2,1,paid,3.99,4,50,Games,802.6123571,8,09+,med
"Warhammer 40,000: Deathwatch - Tyranid Invasion Rodeo Games 791134629",791134629,6,1,paid,4.99,3.5,311,Games,792.9505939,1,12+,high
Til Morning's Light Amazon Game Studios 980286865,980286865,7,1,paid,6.99,4.5,414,Games,790.3491106,8,09+,high
DuckTales: Remastered Disney 925209077,925209077,1,1,paid,9.99,4,80,Games,781.9422607,11,04+,med
Calling All Mixels Cartoon Network 652862352,652862352,1,1,paid,3.99,4.5,1620,Games,779.9384756,12,09+,med
Modern Combat 5: Blackout Gameloft 656176278,656176278,20,1,paid,0,4.5,23899,Games,765.1217995,15,17+,med
Modern Combat 5: Blackout Gameloft 656176278,656176278,9,1,free,0,4.5,23880,Games,765.1217995,15,17+,med
Race Team Manager Big Bit Ltd 885819965,885819965,6,1,free,0,4.5,9628,Games,752.9852448,12,04+,med
Game of Thrones - A Telltale Games Series Telltale Inc 906862658,906862658,12,1,paid,4.99,3,731,Games,749.870492,1,17+,med
Human Anatomy Atlas _ 3D Anatomical Model of the Human Body Visible Body 446207961,446207961,9,1,paid,24.99,4.5,1145,other,743.1730785,7,12+,med
Assassin's Creed Pirates Ubisoft 692717444,692717444,3,1,free,0,4.5,19606,Games,743.1493196,13,12+,med
Radiation Island Atypical Games 923760656,923760656,174,1,paid,2.99,4.5,3507,Games,733.6457691,10,12+,med
Halo: Spartan Strike Microsoft Corporation 940249281,940249281,6,1,paid,5.99,4.5,545,Games,730.8174229,1,12+,high
9mm Gameloft 424674035,424674035,1,1,paid,6.99,4.5,4371,Games,721.0686522,11,17+,low
Bubble Guppies: Animal School Day Nickelodeon 567249360,567249360,6,1,paid,3.99,4,128,other,714.8821049,1,04+,med
Micromon Pocket Trend 687212362,687212362,102,1,paid,0.99,4.5,7915,Games,707.4819221,1,09+,med
Brothers in Arms• 3: Sons of War Gameloft 656124384,656124384,22,1,free,0,4.5,15516,Games,705.6358967,15,17+,med
Oddworld: Stranger's Wrath Oddworld Inhabitants Inc 923555295,923555295,9,1,paid,2.99,4.5,611,Games,687.1400642,10,12+,med
The Amazing Spider-Man 2 Gameloft 779561331,779561331,10,1,paid,6.99,4,6976,Games,668.8066483,16,12+,med
