age,height,weight,country,sex,year,romstatus,bmi,bodyesteem
20,71,165,Domestic,female,sophomore,single,23.01,111
19,68,145,Domestic,male,first-year,casually_dating,22.04,108
21,65,180,Domestic,female,senior,single,29.95,99
19,71,160,Domestic,male,first-year,single,22.31,133
23,62,117,International,female,senior,serious_relationship,21.4,109.17
22,69,160,Domestic,male,senior,single,23.63,137
19,62.75,120,Domestic,female,first-year,single,21.42,97
22,74,195,International,male,senior,single,25.03,138
18,68,130,Domestic,female,first-year,casually_dating,19.76,121
21,67,150,Domestic,male,senior,casually_dating,23.49,135
21,60.5,125,International,female,junior,serious_relationship,24.01,92.33
21,69,160,Domestic,male,junior,serious_relationship,23.63,101
18,68,176,Domestic,female,first-year,serious_relationship,26.76,93
18,66,110,International,male,first-year,single,17.75,111
22,66,140,Domestic,female,senior,serious_relationship,22.59,131
19,66,130,Domestic,male,first-year,single,20.98,122
23,64,120,Domestic,female,senior,casually_dating,20.6,100
23,78,220,Domestic,male,senior,casually_dating,25.42,140
22,69.75,213,Domestic,female,senior,serious_relationship,30.78,116
19,77,190,Domestic,male,first-year,single,22.53,113
20,66,130,International,female,junior,serious_relationship,20.98,134
19,75,245,Domestic,male,first-year,serious_relationship,30.62,119
20,72,155,Domestic,female,senior,serious_relationship,21.02,93
18,63,130,Domestic,male,first-year,serious_relationship,23.03,114
21,65,140,Domestic,female,senior,serious_relationship,23.29,144
19,72,150,Domestic,male,first-year,serious_relationship,20.34,116
21,62,125,Domestic,female,junior,single,22.86,123
23,71,187,Domestic,male,junior,casually_dating,26.08,130
20,63,145,Domestic,female,senior,single,25.68,129
22,72,145,International,male,senior,serious_relationship,19.66,137
21,60,122,Domestic,female,senior,serious_relationship,23.82,165
21,72,220,Domestic,male,junior,serious_relationship,29.83,168
21,64,140,Domestic,female,senior,serious_relationship,24.03,124
22,70,172,International,male,senior,serious_relationship,24.68,111
22,66,130,Domestic,female,senior,single,20.98,100
20,70,195,International,male,junior,serious_relationship,27.98,91
21,66,125,Domestic,female,senior,single,20.17,102
21,69,175,Domestic,male,senior,single,25.84,114
22,63,155,Domestic,female,senior,single,27.45,105
21,73,195,Domestic,male,senior,casually_dating,25.72,85
22,66,133,Domestic,female,senior,serious_relationship,21.46,109
21,74,205,Domestic,male,senior,serious_relationship,26.32,100
18,66,130,Domestic,female,first-year,single,20.98,107
19,75,200,Domestic,male,first-year,serious_relationship,25,117
20,63,110,Domestic,female,junior,serious_relationship,19.48,129
19,67,140,Domestic,male,first-year,single,21.92,120
21,69,160,Domestic,female,junior,serious_relationship,23.63,119
19,74,170,Domestic,male,first-year,single,21.82,99
25,65,135,Domestic,female,senior,single,22.46,101
22,73,150,International,male,junior,single,19.79,133
20,71,165,Domestic,female,sophomore,single,23.01,111
19,66,125,Domestic,male,sophomore,single,20.17,131
18,65,140,Domestic,female,first-year,single,23.29,128
18,76,250,Domestic,male,first-year,serious_relationship,30.43,120
18,62,108,Domestic,female,first-year,single,19.75,123
23,70,150,International,male,senior,single,21.52,149
18,68,125,Domestic,female,first-year,single,19,90
21,70,110,Domestic,male,junior,single,15.78,94
19,62,125,Domestic,female,first-year,single,22.86,104
20,70,210,International,male,sophomore,serious_relationship,30.13,109.48
22,67,150,Domestic,female,senior,serious_relationship,23.49,110
20,71,165,Domestic,male,junior,single,23.01,127
22,62.5,135,International,female,senior,serious_relationship,24.3,102
19,70,170,Domestic,male,sophomore,casually_dating,24.39,107
22,62,130,Domestic,female,senior,serious_relationship,23.77,111
20,71,141,International,male,sophomore,serious_relationship,19.66,148
22,59.5,155,Domestic,female,senior,serious_relationship,30.78,97
20,71,250,Domestic,male,junior,single,34.86,116
20,65,140,Domestic,female,junior,serious_relationship,23.29,112
22,75,215,Domestic,male,senior,serious_relationship,26.87,91
18,66,135,Domestic,female,first-year,serious_relationship,21.79,120
19,67,150,Domestic,male,first-year,single,23.49,119
19,63.5,110,Domestic,female,first-year,single,19.18,118
21,69,130,International,male,junior,single,19.2,121
22,67.5,140,Domestic,female,senior,casually_dating,21.6,113
21,65,118,International,male,junior,single,19.63,120
22,63,155,Domestic,female,supersenior,serious_relationship,27.45,100
19,74,157,Domestic,male,first-year,casually_dating,20.16,119
18,66,135,Domestic,female,first-year,casually_dating,21.79,119
18,69,135,Domestic,male,first-year,single,19.93,94
18,68,140,Domestic,female,first-year,casually_dating,21.28,121
22,68,148,International,male,junior,single,22.5,136
19,61,115,Domestic,female,first-year,serious_relationship,21.73,101
20,73,175,International,male,sophomore,single,23.09,127
18,66,160,Domestic,female,first-year,single,25.82,103
19,72,170,International,male,first-year,single,23.05,145
17,63,115,International,female,first-year,single,20.37,126
21,71,161,International,male,first-year,single,22.45,158
19,69,150,Domestic,female,sophomore,serious_relationship,22.15,107
18,68,165,Domestic,male,first-year,single,25.09,113
23,66,285,Domestic,female,supersenior,single,46,85
20,68,158,NA,male,junior,serious_relationship,24.02,175
19,65,140,Domestic,female,sophomore,serious_relationship,23.29,122
20,68,160,Domestic,male,junior,casually_dating,24.33,154
22,65,115,Domestic,female,senior,serious_relationship,19.13,157
21,71,170,Domestic,male,senior,serious_relationship,23.71,145
20,68,122,International,female,junior,single,18.55,143
21,72,150,Domestic,male,senior,single,20.34,134
21,65,200,Domestic,female,senior,single,33.28,78.73
22,72,140,Domestic,male,senior,single,18.99,116
21,56,125,Domestic,female,senior,serious_relationship,28.02,136
19,66,150,Domestic,male,first-year,single,24.21,109
21,60,118,Domestic,female,senior,serious_relationship,23.04,140
18,72.5,165,Domestic,male,first-year,single,22.07,107
18,62,100,Domestic,female,first-year,single,18.29,123
19,67,120,Domestic,male,first-year,serious_relationship,18.79,120
19,67,128,Domestic,female,first-year,casually_dating,20.05,109
19,69,160,International,male,sophomore,casually_dating,23.63,129
19,68,150,Domestic,female,first-year,single,22.8,111
19,69,160,Domestic,male,first-year,casually_dating,23.63,153
18,60,107,Domestic,female,first-year,single,20.89,112
20,68,146,International,male,junior,single,22.2,121
18,67,145,Domestic,female,first-year,casually_dating,22.71,121
20,73,180,Domestic,male,sophomore,serious_relationship,23.75,115
18,64,135,Domestic,female,first-year,single,23.17,121
20,64,150,Domestic,male,sophomore,single,25.74,125
18,64,140,Domestic,female,first-year,single,24.03,113
22,71,195,International,male,junior,single,27.19,148
19,60,115,Domestic,female,first-year,serious_relationship,22.46,91
21,70,160,International,male,senior,casually_dating,22.96,128
20,64,110,International,female,sophomore,serious_relationship,18.88,92
20,73,165,International,male,junior,single,21.77,120
17,62,145,Domestic,female,first-year,casually_dating,26.52,97
19,71,165,Domestic,male,sophomore,single,23.01,142
20,65,140,Domestic,female,first-year,single,23.29,87
17,73,175,Domestic,male,first-year,single,23.09,98
21,70,255,Domestic,female,junior,single,36.58,98
19,72,170,Domestic,male,sophomore,single,23.05,113
18,66,148,Domestic,female,first-year,single,23.89,85
21,72,180,International,male,junior,casually_dating,24.41,106
21,62,110,International,female,senior,casually_dating,20.12,99
19,73,155,Domestic,male,sophomore,casually_dating,20.45,136
19,63,110,Domestic,female,sophomore,casually_dating,19.48,143
17,74,185,Domestic,male,first-year,single,23.75,139
20,66,135,Domestic,female,sophomore,serious_relationship,21.79,126
21,74,190,Domestic,male,junior,serious_relationship,24.39,119
20,66,130,Domestic,female,sophomore,single,20.98,83
20,70,138,Domestic,male,sophomore,casually_dating,19.8,149
19,64,140,International,female,sophomore,single,24.03,107
21,76,170,International,male,junior,casually_dating,20.69,141
19,66,150,Domestic,female,sophomore,single,24.21,110
20,66,130,Domestic,male,junior,serious_relationship,20.98,150
20,65,127,Domestic,female,junior,single,21.13,126
21,70,160,Domestic,male,senior,single,22.96,103
18,59,132,Domestic,female,junior,single,26.66,87
21,70,154,International,male,senior,serious_relationship,22.09,132
19,66,205,Domestic,female,sophomore,single,33.08,129
21,72,150,International,male,junior,single,20.34,166
21,64,160,Domestic,female,senior,casually_dating,27.46,134
20,70,162,International,male,sophomore,single,23.24,151
18.5,64,88,International,female,sophomore,single,15.1,116
21,78,165,International,male,sophomore,single,19.07,113
19,62,139,Domestic,female,sophomore,single,25.42,111
20,69,143,International,male,sophomore,serious_relationship,21.12,77
21,69,165,Domestic,female,junior,serious_relationship,24.36,112
20,67,152,International,male,sophomore,single,23.8,91
20,66,130,International,female,junior,single,20.98,165
19,73,150,International,male,sophomore,single,19.79,101
19,67,125,International,female,first-year,single,19.58,134
19,68,125,Domestic,male,first-year,single,19,118
21,64,115,International,female,senior,serious_relationship,19.74,140
19,72,183,International,male,first-year,serious_relationship,24.82,130
20,69,170,Domestic,female,sophomore,single,25.1,100
19,72,155,Domestic,male,first-year,casually_dating,21.02,102
19,69,160,Domestic,female,sophomore,single,23.63,92
19,64,135,International,male,first-year,single,23.17,112
19,64.5,120,Domestic,female,first-year,serious_relationship,20.28,110
21,68,183,Domestic,male,junior,serious_relationship,27.82,137
21,64,137,Domestic,female,senior,serious_relationship,23.51,125
18,74,180,International,male,first-year,casually_dating,23.11,128
20,62.5,115,Domestic,female,junior,serious_relationship,20.7,137
21,74,200,Domestic,male,senior,serious_relationship,25.68,132
20,65.5,130,International,female,first-year,single,21.3,114
21,66,159,Domestic,male,junior,serious_relationship,25.66,164
19,64,120,Domestic,female,first-year,serious_relationship,20.6,133
20,71,235,International,male,sophomore,single,32.77,92
19,63,135,Domestic,female,first-year,casually_dating,23.91,130
20,70,125,International,male,sophomore,single,17.93,114
21,64,125,International,female,sophomore,serious_relationship,21.45,105
20,71,150,Domestic,male,sophomore,single,20.92,121
21,65,135,Domestic,female,senior,serious_relationship,22.46,117
20,69,134,International,male,sophomore,single,19.79,117.3
