Defendant,Victim,DeathPenalty
White,White,Yes
White,White,Yes
White,White,Yes
White,White,Yes
White,White,Yes
White,White,Yes
White,White,Yes
White,White,Yes
White,White,Yes
White,White,Yes
White,White,Yes
White,White,Yes
White,White,Yes
White,White,Yes
White,White,Yes
White,White,Yes
White,White,Yes
White,White,Yes
White,White,Yes
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,White,No
White,Black,No
White,Black,No
White,Black,No
White,Black,No
White,Black,No
White,Black,No
White,Black,No
White,Black,No
White,Black,No
Black,White,Yes
Black,White,Yes
Black,White,Yes
Black,White,Yes
Black,White,Yes
Black,White,Yes
Black,White,Yes
Black,White,Yes
Black,White,Yes
Black,White,Yes
Black,White,Yes
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,White,No
Black,Black,Yes
Black,Black,Yes
Black,Black,Yes
Black,Black,Yes
Black,Black,Yes
Black,Black,Yes
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
Black,Black,No
