Name,HWYMPG
Acura CL,29
Acura NSX,24
Acura RL,24
Acura RSX,31
Acura TL,29
Aston Martin DB7 Vantage,18
Aston Martin Vanquish,19
Audi A4 Cabriolet,31
Audi A6,27
Audi A8,24
Audi TT,31
Bentley Arnage R,15
Bentley Continental R,16
BMW Z4 Roadster,27
BMW Z8,21
BMW 3 series,32
BMW 5 series,28
BMW 7 series,26
Buick Century,29
Buick LeSabre,29
Buick Park Avenue,29
Buick Regal,29
Cadillac CTS,25
Cadillac DeVille,27
Cadillac Seville,27
Chevrolet Cavalier,32
Chevrolet Corvette,28
Chevrolet Impala,32
Chevrolet Malibu ,29
Chevrolet Monte Carlo,32
Dodge Intrepid,28
Dodge Neon,33
Dodge Stratus Coupe,29
Dodge Stratus Sedan,28
Dodge Viper,20
Chrysler Concorde,28
Chrysler PT Cruiser,27
Chrysler Sebring Convertible,30
Chrysler Sebring Coupe,29
Chrysler Sebring Sedan,28
Chrysler 300M,26
Ferrari Enzo,18
Ferrari 360 Modena,16
Ferrari 360 Spider,16
Ferrari 456M GT,20
Ferrari 575M Maranelli,16
Ford Crown Victoria,26
Ford Escort ZX2,33
Ford Focus,38
Ford Mustang,29
Ford Taurus,28
Ford Thunderbird,23
Honda Accord,34
Honda Civic,40
Honda Civic Hybrid,51
Honda Insight ,68
Honda S2000,26
Hyundai Accent,36
Hyundai Elantra,33
Hyundai Sonata,30
Hyundai Tiburon,32
Hyundai XG 350,26
Infiniti G35,24
Infiniti I35,26
Infiniti M45,23
Infiniti Q45,25
Jaguar XJ8,24
Jaguar Vanden Plas,24
Jaguar XK8,24
Jaguar S-Type,23
Jaguar X-Type,28
Kia Optima,30
Kia Rio,40
Kia Spectra,30
Lamborghini Murcielago,13
Lexus ES300,29
Lexus GS300,25
Lexus IS300,25
Lexus LS430,25
Lexus SC430,23
Lotus Esprit V8,22
Lincoln LS,25
Lincoln Town Car,25
Maserati Coupe,17
Maserati Spyder,17
Mazda Miata,29
Mazda Protégé,34
Mazda 6,30
Mercury Grand Marquis,25
Mercury Marauder,23
Mercury Sable,28
Mini Cooper,33
Mercedes-Bens C-Class,26
Mercedes-Bens C230 Sports Coupe,26
Mercedes-Bens CLK,29
Mercedes-Bens CL/S Class,24
Mercedes-Bens E-Class,28
Mercedes-Bens SL,21
Mercedes-Bens SLK,29
Mitsubishi Diamante,25
Mitsubishi Eclipse,31
Mitsubishi Galant,28
Mitsubishi Lancer,33
Mitsubishi Lancer Evolution VIII,24
Morgan Plus 8,30
Nissan Altima,29
Nissan Maxima,28
Nissan Sentra,35
Nissan 350Z,26
Oldsmobile Alero,33
Oldmobile Aurora,28
Panoz Esperante,28
Pontiac Bonneville,29
Pontiac Grand Am,32
Pontiac Grand Prix,30
Pontiac Sunfire,33
Pontiac Vibe,36
Porsche Boxster,29
Porsche 911 Carrera,25
Porsche 911 Turbo,22
Saab 9-3,27
Saab 9-5,30
Saleen S7,17
Saturn Ion,33
Saturn L-Series,33
Subaru Baja,25
Subaru Impreza,28
Subaru Legacy,27
Suzuki Aerio,32
Toyota Avalon,29
Toyota Camry,32
Toyota Camry Solara,28
Toyota Celica,32
Toyota Corolla,39
Toiyota Echo,41
Toyota Matriz,35
Totota MR2 Spyder ,30
Totota Prius,45
Volkswagen New Beetle,31
Volkswagen Golf,31
Volkswagen Jetta,31
Volkswagen Passat,31
Volvo C70,26
Volvo S40,32
Volvo S60,28
Volvo S80,26
Volvo V70,28
