Score,Position,Ethnicity,Sex,Language,Age,NumEvals,ClassSize,CourseLevel,Beauty,ProfOutfit,ProfPic
4.7,TenureTrack,Minority,Female,English,36,24,43,Upper,5,Other,Color
4.1,TenureTrack,Minority,Female,English,36,86,125,Upper,5,Other,Color
3.9,TenureTrack,Minority,Female,English,36,76,125,Upper,5,Other,Color
4.8,TenureTrack,Minority,Female,English,36,77,123,Upper,5,Other,Color
4.6,Tenured,NotMinority,Male,English,59,17,20,Upper,3,Other,Color
4.3,Tenured,NotMinority,Male,English,59,35,40,Upper,3,Other,Color
2.8,Tenured,NotMinority,Male,English,59,39,44,Upper,3,Other,Color
4.1,Tenured,NotMinority,Male,English,51,55,55,Upper,3.333,Other,Color
3.4,Tenured,NotMinority,Male,English,51,111,195,Upper,3.333,Other,Color
4.5,Tenured,NotMinority,Female,English,40,40,46,Upper,3.167,Other,Color
3.8,Tenured,NotMinority,Female,English,40,24,27,Upper,3.167,Other,Color
4.5,Tenured,NotMinority,Female,English,40,24,25,Upper,3.167,Other,Color
4.6,Tenured,NotMinority,Female,English,40,17,20,Upper,3.167,Other,Color
3.9,Tenured,NotMinority,Female,English,40,14,25,Upper,3.167,Other,Color
3.9,Tenured,NotMinority,Female,English,40,37,42,Upper,3.167,Other,Color
4.3,Tenured,NotMinority,Female,English,40,18,20,Upper,3.167,Other,Color
4.5,Tenured,NotMinority,Female,English,40,15,18,Upper,3.167,Other,Color
4.8,TenureTrack,NotMinority,Female,English,31,42,48,Upper,7.333,Other,Color
4.6,TenureTrack,NotMinority,Female,English,31,40,44,Upper,7.333,Other,Color
4.6,TenureTrack,NotMinority,Female,English,31,38,48,Upper,7.333,Other,Color
4.9,TenureTrack,NotMinority,Female,English,31,40,45,Upper,7.333,Other,Color
4.6,TenureTrack,NotMinority,Female,English,31,52,59,Upper,7.333,Other,Color
4.5,TenureTrack,NotMinority,Female,English,31,49,87,Upper,7.333,Other,Color
4.4,Tenured,NotMinority,Male,English,62,182,282,Upper,5.5,Formal,Color
4.6,Tenured,NotMinority,Male,English,62,160,292,Upper,5.5,Formal,Color
4.7,Tenured,NotMinority,Male,English,62,79,130,Upper,5.5,Formal,Color
4.5,Tenured,NotMinority,Male,English,62,176,285,Upper,5.5,Formal,Color
4.8,Tenured,NotMinority,Male,English,62,155,272,Upper,5.5,Formal,Color
4.9,Tenured,NotMinority,Male,English,62,166,286,Upper,5.5,Formal,Color
4.5,Tenured,NotMinority,Male,English,62,186,302,Upper,5.5,Formal,Color
4.4,TenureTrack,NotMinority,Female,English,33,33,41,Upper,4.167,Other,Color
4.3,TenureTrack,NotMinority,Female,English,33,29,34,Upper,4.167,Other,Color
4.1,TenureTrack,NotMinority,Female,English,33,37,41,Upper,4.167,Other,Color
4.2,TenureTrack,NotMinority,Female,English,33,29,41,Upper,4.167,Other,Color
3.5,TenureTrack,NotMinority,Female,English,33,28,34,Upper,4.167,Other,Color
3.4,Tenured,NotMinority,Female,English,51,25,41,Upper,4,Other,Color
4.5,Tenured,NotMinority,Female,English,51,21,22,Upper,4,Other,Color
4.4,Tenured,NotMinority,Female,English,51,13,21,Upper,4,Other,Color
4.4,Tenured,NotMinority,Female,English,51,16,17,Upper,4,Other,Color
2.5,Tenured,NotMinority,Female,English,51,24,30,Lower,4,Other,Color
4.3,Tenured,NotMinority,Female,English,51,23,23,Upper,4,Other,Color
4.5,Tenured,NotMinority,Female,English,51,20,20,Upper,4,Other,Color
4.8,TenureTrack,NotMinority,Female,English,33,48,60,Upper,4.667,Other,Color
4.8,TenureTrack,NotMinority,Female,English,33,29,33,Upper,4.667,Other,Color
4.4,TenureTrack,NotMinority,Female,English,33,11,44,Upper,4.667,Other,Color
4.7,TenureTrack,NotMinority,Female,English,33,29,49,Upper,4.667,Other,Color
4.4,TenureTrack,NotMinority,Female,English,33,25,29,Upper,4.667,Other,Color
4.7,TenureTrack,NotMinority,Female,English,33,42,48,Upper,4.667,Other,Color
4.5,TenureTrack,NotMinority,Female,English,33,34,40,Upper,4.667,Other,Color
4,Teaching,NotMinority,Male,English,47,16,19,Upper,5.5,Other,Color
4.3,Teaching,NotMinority,Male,English,47,12,16,Upper,5.5,Other,Color
4.4,Teaching,NotMinority,Male,English,47,14,15,Upper,5.5,Other,Color
4.5,Teaching,NotMinority,Male,English,47,22,23,Upper,5.5,Other,Color
5,Teaching,NotMinority,Male,English,47,10,11,Lower,5.5,Other,Color
4.9,Teaching,NotMinority,Male,English,47,17,29,Lower,5.5,Other,Color
4.6,Teaching,NotMinority,Male,English,47,16,21,Upper,5.5,Other,Color
5,Teaching,NotMinority,Male,English,47,15,18,Lower,5.5,Other,Color
4.7,Teaching,NotMinority,Male,English,47,16,19,Upper,5.5,Other,Color
5,Teaching,NotMinority,Male,English,47,16,20,Lower,5.5,Other,Color
3.6,TenureTrack,Minority,Male,Other,35,18,25,Upper,4.833,Other,Color
3.7,TenureTrack,Minority,Male,Other,35,30,33,Upper,4.833,Other,Color
4.3,TenureTrack,Minority,Male,Other,35,23,24,Upper,4.833,Other,Color
4.1,Teaching,NotMinority,Male,English,37,30,34,Upper,4.333,Other,Color
4.2,Teaching,NotMinority,Male,English,37,13,21,Upper,4.333,Other,Color
4.7,Teaching,NotMinority,Male,English,37,24,30,Upper,4.333,Other,Color
4.7,Teaching,NotMinority,Male,English,37,24,25,Upper,4.333,Other,Color
3.5,Teaching,NotMinority,Male,English,37,25,35,Upper,4.333,Other,Color
4.1,Tenured,NotMinority,Male,English,42,28,40,Upper,4.833,Other,Color
4.2,Tenured,NotMinority,Male,English,42,18,30,Upper,4.833,Other,Color
4,Tenured,NotMinority,Male,English,42,28,42,Upper,4.833,Other,Color
4,Tenured,NotMinority,Male,English,42,25,57,Upper,4.833,Other,Color
3.9,Tenured,NotMinority,Male,English,42,40,57,Upper,4.833,Other,Color
4.4,Tenured,NotMinority,Male,English,42,40,51,Upper,4.833,Other,Color
3.8,Tenured,NotMinority,Male,English,42,18,30,Upper,4.833,Other,Color
3.5,Tenured,NotMinority,Male,Other,49,30,36,Upper,4,Other,Color
4.2,Tenured,NotMinority,Male,Other,49,31,37,Upper,4,Other,Color
3.5,Tenured,NotMinority,Male,Other,49,15,29,Upper,4,Other,Color
3.6,Tenured,NotMinority,Male,Other,49,23,27,Upper,4,Other,Color
2.9,TenureTrack,NotMinority,Female,English,37,23,28,Upper,5.5,Other,Color
3.3,TenureTrack,NotMinority,Female,English,37,34,52,Upper,5.5,Other,Color
3.3,TenureTrack,NotMinority,Female,English,37,21,26,Upper,5.5,Other,Color
3.2,TenureTrack,NotMinority,Female,English,37,29,30,Upper,5.5,Other,Color
4.6,Tenured,NotMinority,Male,English,45,23,33,Upper,4.167,Other,Color
4.2,Tenured,NotMinority,Male,English,45,45,177,Lower,4.167,Other,Color
4.3,Tenured,NotMinority,Male,English,45,90,199,Lower,4.167,Other,Color
4.4,Tenured,NotMinority,Male,English,45,27,32,Upper,4.167,Other,Color
4.1,Tenured,NotMinority,Male,English,45,35,37,Upper,4.167,Other,Color
4.6,Tenured,NotMinority,Male,English,45,120,161,Lower,4.167,Other,Color
4.4,Teaching,NotMinority,Female,English,56,27,41,Upper,2.5,Other,Color
4.8,Teaching,NotMinority,Female,English,56,39,44,Upper,2.5,Other,Color
4.3,Teaching,NotMinority,Female,English,56,35,53,Upper,2.5,Other,Color
3.6,Teaching,NotMinority,Female,English,56,34,49,Upper,2.5,Other,Color
4.3,Teaching,NotMinority,Female,English,56,27,32,Upper,2.5,Other,Color
4,Teaching,NotMinority,Male,English,48,100,135,Lower,4.333,Other,Color
4.2,Teaching,NotMinority,Male,English,48,20,33,Upper,4.333,Other,Color
4.1,Teaching,NotMinority,Male,English,48,14,19,Upper,4.333,Other,Color
4.1,Teaching,NotMinority,Male,English,48,65,111,Lower,4.333,Other,Color
4.4,Teaching,NotMinority,Male,English,48,95,149,Lower,4.333,Other,Color
4.3,Teaching,NotMinority,Male,English,48,18,27,Upper,4.333,Other,Color
4.4,Teaching,NotMinority,Male,English,48,85,136,Lower,4.333,Other,Color
4.4,Teaching,NotMinority,Male,English,48,113,140,Lower,4.333,Other,Color
4.9,Tenured,NotMinority,Female,English,46,25,31,Upper,4.333,Other,BW
5,Tenured,NotMinority,Female,English,46,14,15,Lower,4.333,Other,BW
4.4,Tenured,NotMinority,Female,English,46,23,29,Upper,4.333,Other,BW
4.8,Tenured,NotMinority,Female,English,46,23,25,Upper,4.333,Other,BW
4.9,Tenured,NotMinority,Female,English,46,9,18,Upper,4.333,Other,BW
4.3,Tenured,NotMinority,Female,English,46,30,45,Upper,4.333,Other,BW
5,Tenured,NotMinority,Female,English,46,15,15,Lower,4.333,Other,BW
4.7,Tenured,NotMinority,Female,English,46,31,38,Upper,4.333,Other,BW
4.5,Tenured,NotMinority,Female,English,46,12,15,Lower,4.333,Other,BW
3.5,Teaching,NotMinority,Female,English,57,17,28,Upper,4.333,Other,Color
3.9,Teaching,NotMinority,Female,English,57,10,23,Upper,4.333,Other,Color
4,Teaching,NotMinority,Female,English,57,15,19,Upper,4.333,Other,Color
