Time,Status,Age,Weight,Length
2,1,1,1160,277
6,0,0,1140,266
6,0,1,1260,280
7,1,0,1160,264
13,1,1,1080,267
14,0,0,1120,262
16,0,1,1140,277
16,1,1,1200,283
17,0,1,1100,264
17,1,1,1420,270
20,0,1,1120,272
21,1,1,1110,271
22,1,0,1070,268
26,1,0,940,252
26,1,0,1240,271
27,1,0,1120,265
28,0,1,1340,275
29,1,0,1010,272
32,1,0,1040,270
32,0,1,1250,276
34,1,0,1200,276
34,1,0,1280,270
37,1,0,1250,272
40,1,0,1090,275
41,1,1,1050,275
44,1,0,1040,255
49,0,0,1130,268
54,0,1,1320,285
56,0,0,1180,259
56,0,0,1070,267
57,0,1,1260,269
57,0,0,1270,276
58,0,0,1080,260
63,0,1,1110,270
63,0,0,1150,271
63,0,0,1030,265
63,0,0,1160,275
63,0,0,1180,263
63,0,0,1050,271
63,0,1,1280,281
63,0,0,1050,275
63,0,0,1160,266
63,0,0,1150,263
63,0,1,1270,270
63,0,1,1370,275
63,0,1,1220,265
63,0,0,1220,268
63,0,0,1140,262
63,0,0,1140,270
63,0,0,1120,274
