name,id,survival,type,price,releaseToDate,avgRate_current,rateCount_current,avgRate_all,rateCount_all,category,catPop,size,language,langNum,ageRate,system,systemCat,device,left_trunc,censored
Disney Infinity: Toy Box 2.0 Disney 895324943,895324943,6,free,0,227,4.5,3155,4,6372,Games,Games,3620.374592," English, Danish, Dutch, Finnish, French, German, Italian, Norwegian, Portuguese, Russian, Spanish, Swedish",12,09+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
"Grim Fandango Remastered Double Fine Productions, Inc. 978524071",978524071,6,paid,9.99,131,4,51,4,122,Games,Games,2944.193018, English,1,12+,iOS 8,new,"iPhone 5s, iPhone 6, iPhone 6 Plus, iPhone 6s, iPhone 6s Plus, iPad Air, iPad Air Wi-Fi + Cellular, iPad mini 2, iPad mini 2 Wi-Fi + Cellular, iPad Air 2, iPad Air 2 Wi-Fi + Cellular, iPad mini 3, iPad mini 3 Wi-Fi + Cellular, iPad mini 4, iPad mini 4 Wi-Fi + Cellular, iPad Pro, iPad Pro Wi-Fi + Cellular, and iPod touch (6th generation.",1,1
"Broken Age _ Double Fine Productions, Inc. 887649233",887649233,6,paid,9.99,458,4.5,13,4.5,801,Games,Games,2413.126817," English, French, German, Italian, Russian, Spanish",6,09+,iOS 6,med,"iPhone 4, iPhone 4s, iPhone 5, iPhone 5c, iPhone 5s, iPhone 6, iPhone 6 Plus, iPhone 6s, iPhone 6s Plus, iPad, and iPod touch.",1,1
"Star Wars¥: Knights of the Old Republic_ Aspyr Media, Inc. 611436052",611436052,1,paid,9.99,836,4.5,354,4,7550,Games,Games,1893.144845, English,1,12+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
XCOM¥: Enemy Within 2K 881270303,881270303,2,paid,9.99,304,4,1297,4,1646,Games,Games,1872.299819," English, French, German, Italian, Japanese, Korean, Polish, Russian, Spanish",9,17+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
"Infinity Blade III Chair Entertainment Group, LLC 610003290",610003290,10,paid,0,725,4.5,4260,4,32362,Games,Games,1843.486852," English, Chinese, Czech, Dutch, French, German, Hungarian, Indonesian, Italian, Japanese, Korean, Polish, Portuguese, Russian, Slovak, Spanish, Swedish, Thai",18,12+,iOS 6,med,"iPhone, iPad, and iPod touch.",0,1
"Infinity Blade III Chair Entertainment Group, LLC 610003290",610003290,4,free,0,725,4.5,4282,4,32339,Games,Games,1843.486852," English, Chinese, Czech, Dutch, French, German, Hungarian, Indonesian, Italian, Japanese, Korean, Polish, Portuguese, Russian, Slovak, Spanish, Swedish, Thai",18,12+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
"Transistor Supergiant Games, LLC 948857526",948857526,7,paid,9.99,94,4.5,24,4.5,505,Games,Games,1754.536246, English,1,12+,iOS 8,new,"iPhone, iPad Wi-Fi (3rd generation, iPad Wi-Fi + Cellular (3rd generation, iPad Wi-Fi (4th generation, iPad Wi-Fi + Cellular (4th generation, iPad mini Wi-Fi, iPad mini Wi-Fi + Cellular, iPad Air, iPad Air Wi-Fi + Cellular, iPad mini 2, iPad mini 2 Wi-Fi + Cellular, iPad Air 2, iPad Air 2 Wi-Fi + Cellular, iPad mini 3, iPad mini 3 Wi-Fi + Cellular, iPad mini 4, iPad mini 4 Wi-Fi + Cellular, iPad Pro, and iPad Pro Wi-Fi + Cellular.",1,1
Her Story Sam Barlow 952658953,952658953,7,paid,4.99,81,4.5,190,4.5,190,Games,Games,1679.977468, English,1,17+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
NBA 2K15 2K 898164624,898164624,321,paid,7.99,332,3.5,3305,3,14002,Games,Games,1559.600747, English,1,09+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
