Sex,BackPack,Others,Wash
Male,No,No,No
Male,No,No,No
Male,No,No,No
Male,No,No,No
Male,No,No,No
Male,No,No,No
Male,No,No,No
Male,No,No,No
Male,No,No,No
Male,No,No,No
Male,No,No,No
Male,No,No,No
Male,No,No,No
Male,No,No,No
Male,No,No,No
Male,No,No,No
Male,No,No,No
Male,No,No,No
Male,No,No,No
Male,No,No,No
Male,No,No,No
Male,No,No,No
Male,No,No,No
Male,No,No,No
Male,No,No,No
Male,No,No,No
Male,No,No,No
Male,No,No,Yes
Male,No,No,Yes
Male,No,No,Yes
Male,No,No,Yes
Male,No,No,Yes
Male,No,No,Yes
Male,No,No,Yes
Male,No,No,Yes
Male,No,No,Yes
Male,No,No,Yes
Male,No,No,Yes
Male,No,No,Yes
Male,No,No,Yes
Male,No,No,Yes
Male,No,No,Yes
Male,No,No,Yes
Male,No,No,Yes
Male,No,No,Yes
Male,No,No,Yes
Male,No,No,Yes
Male,No,No,Yes
Male,No,No,Yes
Male,No,No,Yes
Male,No,No,Yes
Male,No,No,Yes
Male,No,No,Yes
Male,No,Yes,No
Male,No,Yes,No
Male,No,Yes,No
Male,No,Yes,No
Male,No,Yes,No
Male,No,Yes,Yes
Male,No,Yes,Yes
Male,No,Yes,Yes
Male,No,Yes,Yes
Male,No,Yes,Yes
Male,Yes,No,No
Male,Yes,No,No
Male,Yes,No,No
Male,Yes,No,No
Male,Yes,No,No
Male,Yes,No,No
Male,Yes,No,No
Male,Yes,No,No
Male,Yes,No,No
Male,Yes,No,No
Male,Yes,No,No
Male,Yes,No,No
Male,Yes,No,No
Male,Yes,No,Yes
Male,Yes,No,Yes
Male,Yes,No,Yes
Male,Yes,No,Yes
Male,Yes,No,Yes
Male,Yes,No,Yes
Male,Yes,No,Yes
Male,Yes,No,Yes
Male,Yes,Yes,No
Male,Yes,Yes,No
Male,Yes,Yes,No
Male,Yes,Yes,Yes
Male,Yes,Yes,Yes
Female,No,No,No
Female,No,No,No
Female,No,No,No
Female,No,No,No
Female,No,No,Yes
Female,No,No,Yes
Female,No,No,Yes
Female,No,No,Yes
Female,No,No,Yes
Female,No,No,Yes
Female,No,No,Yes
Female,No,No,Yes
Female,No,No,Yes
Female,No,No,Yes
Female,No,No,Yes
Female,No,No,Yes
Female,No,No,Yes
Female,No,No,Yes
Female,No,No,Yes
Female,No,No,Yes
Female,No,No,Yes
Female,No,No,Yes
Female,No,No,Yes
Female,No,No,Yes
Female,No,No,Yes
Female,No,No,Yes
Female,No,No,Yes
Female,No,No,Yes
Female,No,No,Yes
Female,No,No,Yes
Female,No,No,Yes
Female,No,No,Yes
Female,No,Yes,Yes
Female,No,Yes,Yes
Female,No,Yes,Yes
Female,No,Yes,Yes
Female,No,Yes,Yes
Female,Yes,No,No
Female,Yes,No,No
Female,Yes,No,No
Female,Yes,No,No
Female,Yes,No,No
Female,Yes,No,No
Female,Yes,No,No
Female,Yes,No,Yes
Female,Yes,No,Yes
Female,Yes,No,Yes
Female,Yes,No,Yes
Female,Yes,No,Yes
Female,Yes,No,Yes
Female,Yes,No,Yes
Female,Yes,Yes,No
Female,Yes,Yes,No
Female,Yes,Yes,No
Female,Yes,Yes,No
Female,Yes,Yes,Yes
Female,Yes,Yes,Yes
Female,Yes,Yes,Yes
Female,Yes,Yes,Yes
Female,Yes,Yes,Yes
Female,Yes,Yes,Yes
