Price,Acres,Bedrooms,Bathrooms,SqFt,Age,Rooms
104.9,0.19,3,1,900,44,8
109,0.15,3,2,1431,34,6
94.9,0.2,3,1.5,1064,49,6
96.5,0.18,2,1,780,52,4
127.9,0.17,3,2.5,1140,47,6
129.9,0.18,3,1.5,1140,41,7
145,0.18,3,1.5,1845,45,6
199.9,0.17,4,3.5,1974,17,8
255.9,0.24,5,3,2460,22,8
310,0.23,4,3.5,2490,14,9
169,0.2,4,2,1896,37,8
344.5,0.24,4,4.5,2709,11,8
123,0.13,3,1,828,63,5
139.9,0.16,2,2,1131,75,5
169.9,0.15,2,2,1002,96,7
194.9,0.19,3,1,1024,55,6
210,0.23,3,1,1649,53,9
275,0.17,4,2,2380,10,8
299.5,0.17,4,2,1936,97,8
319.9,0.27,3,2,1648,77,8
397.5,0.3,4,2.5,2500,106,10
189.9,0.18,2,1,1016,71,6
349.9,0.4,4,2.5,1816,70,8
454.9,0.96,3,3,2160,37,7
499.9,1,5,3,3104,48,10
615,0.66,4,3.5,3205,26,10
635,0.44,4,3.5,3084,27,10
929,0.9,5,4.5,4470,16,14
