name,district,sex,age,volunteer,career,rating,avgrating,randrating,days,status,rank,winner,alliance
Marvel,1,Male,17,Yes,Yes,9,9,9,9,1,8,0,1
Glimmer,1,Female,17,Yes,Yes,10,10,10,5,1,11,0,1
Cato,2,Male,18,Yes,Yes,10,10,10,17,1,3,0,1
Clove,2,Female,15,Yes,Yes,10,10,10,12,1,6,0,1
unknown,3,Male,15,Yes,Yes,,9,10,8,1,9,0,1
unknown,3,Female,16,No,No,,5,4,1,1,14,0,
unknown,4,Male,13,Yes,Yes,,9,9,1,1,14,0,
unknown,4,Female,16,Yes,Yes,,9,8,5,1,12,0,1
unknown,5,Male,15,No,No,,5,3,1,1,14,0,
Foxface,5,Female,15,No,No,5,5,5,15,1,4,0,0
unknown,6,Male,17,No,No,,5,7,1,1,14,0,
unknown,6,Female,17,No,No,,5,4,1,1,14,0,
unknown,7,Male,16,No,No,,5,5,1,1,14,0,
unknown,7,Female,16,No,No,,5,4,1,1,14,0,
unknown,8,Male,17,No,No,,5,3,1,1,14,0,
unknown,8,Female,15,No,No,,5,5,2,1,13,0,0
unknown,9,Male,15,No,No,,5,4,1,1,14,0,
unknown,9,Female,14,No,No,,5,5,1,1,14,0,
unknown,10,Male,18,No,No,,5,4,8,1,10,0,0
unknown,10,Female,15,No,No,,5,7,1,1,14,0,
Thresh,11,Male,18,No,No,10,10,10,14,1,5,0,0
Rue,11,Female,12,No,No,7,7,7,9,1,7,0,1
Peeta,12,Male,16,No,No,8,8,8,20,0,1,1,1
Katniss,12,Female,16,Yes,No,11,11,11,20,0,1,1,1
