sessionID,sid,grade,dept,level,sem,enroll,iid
session1784,S31185,1.33,M,100,FA1991,22,inst265
session1785,S31185,3.33,k,100,FA1991,52,inst458
session1792,S31185,3.33,J,300,FA1993,20,inst235
session1791,S31185,3.67,J,100,FA1993,22,inst223
session1794,S31185,2.67,J,200,FA1993,22,inst234
session1810,S31188,3.67,D,300,FA1997,58,inst150
session1824,S31206,3.33,q,200,FA1999,13,inst364
session1817,S31224,2,i,100,FA1999,19,inst423
session1839,S31200,2.67,p,100,FA1999,20,inst510
session1818,S31200,1.67,i,200,FA1999,20,inst444
session1815,S31206,1.33,W,100,FA1999,21,inst373
session1820,S31227,2.33,j,100,FA1999,28,inst455
session1873,S31206,3,W,400,FA2000,11,inst372
session1853,S31227,3,C,200,FA2000,12,inst139
session1882,S31269,3.67,D,200,FA2000,13,inst166
session1886,S31224,2.67,i,400,FA2000,13,inst400
session1890,S31467,4,q,100,FA2000,14,inst214
session1938,S31356,4,d,100,FA2000,14,inst418
session1863,S31257,3,M,100,FA2000,14,inst264
session1944,S31338,3.33,O,200,FA2000,14,inst305
session1878,S31221,3.33,o,300,FA2000,15,inst507
session1871,S31461,4,W,300,FA2000,16,inst369
session1894,S31218,4,Y,200,FA2000,16,inst398
session1940,S31350,2.67,d,100,FA2000,16,inst409
session1884,S31236,2.67,i,100,FA2000,16,inst438
session1859,S31347,3.33,L,100,FA2000,16,inst246
session1867,S31269,3.33,O,100,FA2000,16,inst163
session1858,S31338,1.67,J,100,FA2000,16,inst137
session1854,S31227,3.67,C,300,FA2000,18,inst141
session1848,S31461,4,e,100,FA2000,19,inst424
session1892,S31257,3.67,H,100,FA2000,22,inst204
session1937,S31461,4,d,100,FA2000,24,inst410
session1865,S31347,4,M,100,FA2000,26,inst266
session1875,S31200,4,p,300,FA2000,26,inst520
session1879,S31350,2.33,m,100,FA2000,28,inst480
session1856,S31356,4,G,100,FA2000,29,inst196
session1857,S31200,1.67,G,100,FA2000,41,inst198
session1855,S31227,2,F,100,FA2000,43,inst182
session1852,S31269,3.33,C,100,FA2000,48,inst139
session2346,S32313,4,O,100,FA2001,10,inst293
session2064,S32223,4,D,200,FA2001,10,inst162
session2043,S31461,4,P,200,FA2001,10,inst320
session2346,S32439,3.67,O,100,FA2001,10,inst293
session2067,S31476,3.67,H,300,FA2001,10,inst167
session1986,S32247,3,X,300,FA2001,10,inst392
session2067,S31890,3,H,300,FA2001,10,inst167
session2067,S31890,3,H,300,FA2001,10,inst167
session2064,S31647,3,D,200,FA2001,10,inst162
session2147,S31431,3,T,200,FA2001,10,inst349
session2043,S31194,3,P,200,FA2001,10,inst320
session2067,S32250,2.67,H,300,FA2001,10,inst167
session2067,S31935,2.67,H,300,FA2001,10,inst167
session2067,S31935,2.67,H,300,FA2001,10,inst167
session2346,S31923,3.33,O,100,FA2001,10,inst293
session2067,S31788,3.33,H,300,FA2001,10,inst167
session2067,S31440,3.33,H,300,FA2001,10,inst167
session2067,S31440,3.33,H,300,FA2001,10,inst167
session1986,S31401,3.33,X,300,FA2001,10,inst392
