ClassYear,Gender,Political,Haircut,Textbooks,CellType,CellLife,Computer,RandomNumber,HoursSlept,HoursExercise,IceCream,WorkStudy,HarryPotter,CupsCoffee,Siblings,SocialMediaAccounts,Pulse,TextMessages,BearsBees,Athletics
First year,Male,3,15,60,iPhone,8,Mac,5,7.5,12,Chocolate,7,5,0,2,3,,50,Bear,Varsity
First year,Female,1,20,-999,iPhone,20,Mac,7,8,2,Chocolate,0,8,1,1,3,87,100,Bees,No participation
First year,Female,1,20,-999,iPhone,20,Mac,7,8,2,Chocolate,0,8,1,1,3,87,100,Bees,No participation
First year,Female,7,40,-999,iPhone,18,PC,7,7,3,Vanilla,0,2,0,0,2,,5,Bear,Pickup
Sophomore,Female,2,8,50,iPhone,11,Mac,7,7.5,1,Chocolate,10,8,2,0,4,71,5,Bear,No participation
Sophomore,Male,2,2,250,Android,24,Mac,5,6,5,Chocolate,12,8,2,1,8,100,59,Bear,Club
First year,Female,3,8,-999,Android,9,Mac,7,7,0,Chocolate,10,8,1,0,2,90,5,Bees,Varsity
First year,Female,1,15,-999,iPhone,6,PC,8,8.5,1,Vanilla,0,8,0,2,4,57,40,Bear,Pickup
Sophomore,Male,1,10,100,iPhone,15,PC,7,7.5,5,Chocolate,8,8,0,2,5,61,15,Bear,No participation
Junior,Cis Male,2,15,200,other.smartphone,1,PC,7,8.5,1.5,Chocolate,9,6,2,2,4,,3,Bear,Club
Senior,Female,3,35,-999,iPhone,24,Mac,4,7,3,Vanilla,11,8,0,2,1,58,8,Bees,Intramural
Junior,Male,4,20,200,not.smartphone,4,PC,8,8,25,Vanilla,6,8,0,4,1,76,30,Bear,Varsity
Sophomore,Male,2,17,50,iPhone,11,Mac,2,8.5,14,Vanilla,0,8,0,3,3,71,20,Bear,Varsity
Sophomore,Female,4,27,300,iPhone,17,Mac,2,6.5,6,Vanilla,10,3,0,1,3,58,30,Bees,Varsity
Sophomore,Female,3,40,100,iPhone,4,PC,6,7,3,Vanilla,12,8,1,1,3,90,20,Bear,Varsity
Senior,Male,5,0,250,iPhone,36,PC,4,9,19,Chocolate,0,2,0,2,3,60,25,Bear,Varsity
Sophomore,Male,4,20,99,Android,15,PC,7,8,20,Vanilla,20,8,0,3,3,70,5,Bear,Varsity
First year,Male,2,22,-999,iPhone,11,Mac,2,7,1,Chocolate,0,8,1,1,5,70,20,Bear,No participation
Sophomore,Male,5,14,0,iPhone,1,PC,7,9,12,Chocolate,0,7,0,2,3,70,5,Bees,Varsity
