River,Station,Length,Weight,Concen
Lumber,0,47,1616,1.6
Lumber,0,48.7,1862,1.5
Lumber,0,55.7,2855,1.7
Lumber,0,45.2,1199,0.73
Lumber,0,44.7,1320,0.56
Lumber,0,43.8,1225,0.51
Lumber,0,38.5,870,0.48
Lumber,0,45.8,1455,0.95
Lumber,0,44,1220,1.4
Lumber,0,40.4,1033,0.5
Lumber,1,47.7,3378,0.8
Lumber,1,45.1,2920,0.34
Lumber,1,43.5,2674,0.54
Lumber,1,47.4,3675,0.69
Lumber,1,41,1904,0.9
Lumber,1,33.7,1080,0.48
Lumber,1,33.5,1146,0.57
Lumber,1,32.2,1002,0.41
Lumber,1,32,894,0.61
Lumber,1,29.5,754,0.38
Lumber,1,34.9,1174,0.61
Lumber,1,47.1,1435,1.5
Lumber,1,44.2,1378,0.72
Lumber,1,41,1059,1.8
Lumber,1,41.6,873,1.6
Lumber,1,39,857,0.98
Lumber,1,38,743,0.88
Lumber,1,36.1,622,1.5
Lumber,1,33.4,503,0.73
Lumber,2,32.8,406,1.2
Lumber,2,31.4,362,1.1
Lumber,2,33.6,360,1.6
Lumber,2,29.5,313,0.87
Lumber,2,30.5,314,0.9
Lumber,2,27,238,0.91
Lumber,2,30,336,0.61
Lumber,2,30,329,0.85
Lumber,2,33.5,448,0.99
Lumber,2,31,263,1.5
Lumber,2,29,271,0.7
Lumber,2,65,4511,2.1
Lumber,2,58,3597,1.5
Lumber,3,36,600,1.5
Lumber,3,36,650,0.91
Lumber,3,44,1132,1.8
Lumber,3,40.5,863,1.1
Lumber,3,38.5,773,1.3
Lumber,3,40,898,1.2
Lumber,3,44.5,1301,1.6
Lumber,3,50.5,2021,1.2
Lumber,3,50,1883,1.2
Lumber,3,47,1546,1.2
Lumber,4,26,234,0.28
Lumber,4,30,323,0.51
Lumber,4,30,430,0.27
Lumber,4,29,353,0.35
Lumber,4,31,402,0.57
Lumber,4,41,1042,0.66
Lumber,4,36.5,723,0.49
Lumber,4,38,709,0.51
Lumber,4,44,1455,0.73
Lumber,4,27.5,308,0.94
Lumber,4,39,879,1.4
Lumber,4,48,1396,2.7
Lumber,4,51.5,2369,1.8
Lumber,4,56,3421,3.1
Lumber,5,30.5,400,0.5
Lumber,5,42,1049,1.2
Lumber,5,34,678,0.55
Lumber,6,50.5,2228,3.5
Lumber,6,44.5,1853,2.7
Lumber,6,30,380,1.4
Lumber,6,35,620,0.73
Wacamaw,7,30.4,320,0.51
Wacamaw,7,25.2,217,0.23
Wacamaw,7,36,574,1.6
Wacamaw,7,29.9,298,0.48
Wacamaw,7,34.7,491,0.58
Wacamaw,7,34.7,491,0.58
Wacamaw,7,31.7,407,0.5
Wacamaw,7,34.5,496,0.58
Wacamaw,7,40.1,805,1.4
Wacamaw,7,30.7,315,0.44
Wacamaw,8,33,518,0.55
Wacamaw,8,40.5,970,0.84
Wacamaw,8,32,421,0.65
Wacamaw,8,37,673,0.76
Wacamaw,8,35.5,550,0.65
Wacamaw,8,30,331,0.5
Wacamaw,8,40,856,1.1
Wacamaw,8,35,487,1
Wacamaw,8,39.5,923,1.2
Wacamaw,8,31,415,0.53
Wacamaw,8,31.5,521,0.74
Wacamaw,8,30,348,0.41
Wacamaw,8,33,440,0.78
Wacamaw,8,47,586,1.3
Wacamaw,9,54,2664,1.8
Wacamaw,9,57.6,3283,1.4
Wacamaw,9,46.2,1573,0.75
Wacamaw,10,34.8,491,0.57
Wacamaw,10,34.5,560,0.69
Wacamaw,10,38.5,870,1.8
Wacamaw,10,40,864,0.93
Wacamaw,10,46.4,1285,3.4
Wacamaw,10,41.9,1188,2.4
Wacamaw,10,46.2,1365,0.88
Wacamaw,10,47.3,1632,1.5
Wacamaw,10,47.1,1725,1.8
Wacamaw,10,39,977,1.5
Wacamaw,10,56.5,2451,2.1
Wacamaw,10,46.1,1327,0.91
Wacamaw,10,28.5,303,0.61
Wacamaw,10,25.5,203,0.76
Wacamaw,10,40.2,796,0.86
Wacamaw,10,44.5,1202,2.2
Wacamaw,10,36.5,566,2.9
Wacamaw,10,33.3,460,0.89
Wacamaw,10,28.3,274,0.5
Wacamaw,10,46,1342,2.2
Wacamaw,10,36.7,647,2.4
Wacamaw,11,39,844,0.69
Wacamaw,11,53,3026,2.7
Wacamaw,11,43,1258,0.9
Wacamaw,11,47.2,1699,1.9
Wacamaw,11,36.5,656,0.65
Wacamaw,11,43.2,1356,1.2
Wacamaw,11,41.5,1018,0.83
Wacamaw,11,36,874,1.3
Wacamaw,11,36.2,708,1.3
Wacamaw,12,27.3,250,0.28
Wacamaw,12,26.7,252,0.21
Wacamaw,12,27.5,283,0.14
Wacamaw,12,39,743,0.39
Wacamaw,12,33.9,465,0.39
Wacamaw,12,29.6,329,0.9
Wacamaw,12,46.5,1292,0.64
Wacamaw,12,57.5,2401,1.4
Wacamaw,12,49,1891,0.58
Wacamaw,12,34.9,498,0.42
Wacamaw,12,29,307,0.11
Wacamaw,12,31.5,376,0.28
Wacamaw,12,38.2,573,0.59
Wacamaw,13,28.6,338,1.1
Wacamaw,13,36.8,714,1.6
Wacamaw,13,43.4,1251,1.3
Wacamaw,13,48.1,1801,0.88
Wacamaw,14,50.8,2131,1.8
Wacamaw,14,46.8,1604,1.8
Wacamaw,14,40.2,1090,1.2
Wacamaw,14,58.7,3314,2.9
Wacamaw,14,56.1,2629,3.4
Wacamaw,14,48,1743,1.9
Wacamaw,14,44.7,1454,2.4
Wacamaw,14,43.6,1245,1.8
Wacamaw,14,37.6,937,2.4
Wacamaw,14,40,869,1.4
Wacamaw,14,37.4,879,1.6
Wacamaw,14,46.5,772,1.7
Wacamaw,14,36,724,1.3
Wacamaw,15,50.4,1744,0.93
Wacamaw,15,59.2,3524,3.6
Wacamaw,15,58.4,2902,3.5
Wacamaw,15,54,2709,2.4
Wacamaw,15,53.7,2625,2.9
Wacamaw,15,49.5,1924,2.3
Wacamaw,15,47.5,1546,1.4
Wacamaw,15,54.2,3164,2.1
Wacamaw,15,45.4,1710,1.7
Wacamaw,15,41.7,1255,1.4
Wacamaw,15,36,702,0.92
