Year,Team,Conference,PtsDiff,PtsScored,PtsAllowed,ReturnTD,PenaltyDiff,AvgPassYards,AvgRushYards,TO,AvgPassYardsAllowed,AvgRushYardsAllowed,TOCreated
2003,Baltimore Ravens,AFC,110,391,281,4,35,4.9,4.8,38,4.9,3.4,41
2003,Buffalo Bills,AFC,-36,243,279,2,-105,4.9,3.9,34,5,3.5,18
2003,Cincinnati Bengals,AFC,-38,346,384,0,-75,6,4.1,22,6.3,4.8,24
2003,Cleveland Browns,AFC,-68,254,322,-2,-328,5.2,4.1,33,5.3,4.6,22
2003,Denver Broncos,AFC,80,381,301,-1,-109,5.9,4.8,24,5.3,4.2,20
2003,Houston Texans,AFC,-125,255,380,-4,194,5.6,3.9,27,7.1,4.4,22
2003,Indianapolis Colts,AFC,111,447,336,-1,-343,7.1,3.7,20,5.9,4.5,30
2003,Jacksonville Jaguars,AFC,-55,276,331,-1,14,6,4.3,31,6.1,3.2,27
2003,Kansas City Chiefs,AFC,152,484,332,5,-83,7.1,4.3,18,5.6,5.2,37
2003,Miami Dolphins,AFC,50,311,261,1,147,5.8,3.7,34,5.8,3.3,36
2003,New England Patriots,AFC,110,348,238,5,152,6,3.4,24,4.9,3.6,41
2003,New York Jets,AFC,-16,283,299,-2,-433,6.3,4,20,6.2,4.2,20
2003,Oakland Raiders,AFC,-109,270,379,5,139,4.9,4.3,26,6.9,4.6,25
2003,Pittsburgh Steelers,AFC,-27,300,327,0,296,5.8,3.3,28,5.9,3.9,25
2003,San Diego Chargers,AFC,-128,313,441,-4,10,5.5,5.1,31,6.1,4.3,20
2003,Tennessee Titans,AFC,111,435,324,2,94,7.4,3.3,21,6.2,3.8,34
2003,Arizona Cardinals,NFC,-227,225,452,-7,7,5.1,3.8,36,6.9,4,23
2003,Atlanta Falcons,NFC,-123,299,422,2,-211,4.9,4.5,31,7,4.6,31
2003,Carolina Panthers,NFC,21,325,304,-1,-45,6.3,4,31,5.3,4,26
2003,Chicago Bears,NFC,-63,283,346,1,60,4.7,4,29,5.7,4.2,20
2003,Dallas Cowboys,NFC,29,289,260,0,74,5.8,3.9,29,5,3.5,25
2003,Detroit Lions,NFC,-109,270,379,0,-94,4.9,3.6,28,6.5,4,28
2003,Green Bay Packers,NFC,135,442,307,0,-68,6.6,5,32,5.5,4.1,32
2003,Minnesota Vikings,NFC,63,416,353,1,309,7,4.8,24,6.1,4.9,35
2003,New Orleans Saints,NFC,14,340,326,-1,-134,6,4.5,28,5.8,4.7,27
2003,New York Giants,NFC,-144,243,387,-2,470,5.1,4,38,6,3.8,22
2003,Philadelphia Eagles,NFC,87,374,287,1,-288,5.7,4.8,22,5.4,4.5,26
2003,San Francisco 49ers,NFC,47,384,337,0,87,6.3,4.6,25,5.8,4,37
2003,Seattle Seahawks,NFC,77,404,327,1,-48,6.4,4.4,29,5.7,3.9,28
2003,St. Louis Rams,NFC,119,447,328,-2,-215,6.2,3.6,39,5.6,4.8,46
2003,Tampa Bay Buccaneers,NFC,37,301,264,-1,287,6.2,3.9,31,5.3,3.9,33
2003,Washington Redskins,NFC,-85,287,372,-1,203,5.3,3.9,28,6.3,4.4,30
2004,Baltimore Ravens,AFC,49,317,268,5,96,4.6,4.2,23,5.8,3.6,34
2004,Buffalo Bills,AFC,111,395,284,7,182,5.6,3.9,29,4.9,3.6,39
2004,Cincinnati Bengals,AFC,2,374,372,-2,-77,5.8,4.2,32,5.9,4.4,36
2004,Cleveland Browns,AFC,-114,276,390,-4,-36,5.9,3.8,40,5.9,4.3,28
2004,Denver Broncos,AFC,77,381,304,0,-182,7.5,4.4,29,5.6,3.8,20
2004,Houston Texans,AFC,-30,309,339,2,-51,6.2,3.9,25,6.5,4.4,30
2004,Indianapolis Colts,AFC,171,522,351,4,-76,8.5,4.3,17,6.5,4.6,36
2004,Jacksonville Jaguars,AFC,-19,261,280,-6,-26,5.8,4.1,22,6.3,4.1,28
2004,Kansas City Chiefs,AFC,48,483,435,1,6,7.4,4.6,27,7.5,4.6,21
2004,Miami Dolphins,AFC,-79,275,354,-8,0,4.8,3.5,42,5.5,4.3,25
2004,New England Patriots,AFC,177,437,260,1,-192,7,4.1,27,5.8,3.9,36
2004,New York Jets,AFC,72,333,261,3,-314,6.5,4.5,16,6.2,3.6,33
2004,Oakland Raiders,AFC,-122,320,442,-4,175,6.3,4,35,7.3,3.7,18
2004,Pittsburgh Steelers,AFC,121,372,251,1,-38,6.9,4,21,5.4,3.6,32
2004,San Diego Chargers,AFC,133,446,313,0,-65,7.1,4.2,18,6.4,3.7,33
2004,Tennessee Titans,AFC,-95,344,439,-3,149,5.7,4.5,31,6.8,4.6,30
2004,Arizona Cardinals,NFC,-38,284,322,-3,-173,5,3.5,29,5.6,4.7,30
2004,Atlanta Falcons,NFC,3,340,337,4,-25,5.4,5.1,30,6.2,3.9,32
2004,Carolina Panthers,NFC,16,355,339,0,-58,6.4,3.7,26,6.4,4,38
