Last,First,HOF,From,To,Position,Ht,Wt,Month,Day,Year,Country
Laviolette,Jack,Y,1918,1918,D,71,170,July,27,1879,Canada
Lindsay,Bert,N,1918,1919,G,67,160,July,23,1881,Canada
Thompson,Ken,N,1918,1918,F,70,160,May,29,1881,England
Hall,Joe,Y,1918,1919,D,70,175,May,3,1882,England
Patrick,Lester,Y,1927,1927,D,73,180,December,30,1883,Canada
Pitre,Didier,Y,1918,1923,F,71,185,September,1,1883,Canada
Marks,Jack,N,1918,1920,F,73,180,June,11,1885,Canada
Crawford,Rusty,Y,1918,1919,F,71,165,November,7,1885,Canada
Merrill,Horace,N,1918,1920,D,69,176,November,30,1885,Canada
Lehman,Hugh,Y,1927,1928,G,68,168,October,27,1885,Canada
Shore,Hamby,N,1918,1918,D,73,175,February,12,1886,Canada
Ross,Art,Y,1918,1918,D,71,190,January,13,1886,Canada
Smith,Tommy,Y,1920,1920,F,66,150,September,27,1886,Canada
Doherty,Fred,N,1919,1919,F,68,160,August,15,1887,Canada
Payer,Evariste,N,1918,1918,F,66,150,December,12,1887,Canada
McDonald,Jack,N,1918,1922,F,NA,NA,February,28,1887,Canada
Vezina,Georges,Y,1918,1926,G,66,185,January,21,1887,Canada
Randall,Ken,N,1918,1927,F,70,180,December,14,1888,USA
Smith,Don,N,1920,1920,F,67,160,June,3,1888,Canada
Walker,Jack,Y,1927,1928,F,68,153,November,29,1888,Canada
Lalonde,Newsy,Y,1918,1927,F,69,168,October,31,1888,Canada
Mummery,Harry,N,1918,1923,D,71,220,August,25,1889,USA
McDonnell,Moylan,N,1921,1921,D,69,145,August,27,1889,Canada
Ronan,Skene,N,1919,1919,D,66,150,February,9,1889,Canada
Hyland,Harry,Y,1918,1918,F,66,156,January,2,1889,Canada
Skilton,Raymie,N,1918,1918,D,70,190,September,26,1889,USA
Morris,Bernie,N,1925,1925,F,67,145,August,21,1890,Canada
Darragh,Jack,Y,1918,1924,F,70,168,December,4,1890,Canada
Cameron,Harry,Y,1918,1923,D,70,155,February,6,1890,Canada
Gerard,Eddie,Y,1918,1923,F,69,168,February,22,1890,Canada
Malone,Joe,Y,1918,1924,F,70,150,February,28,1890,Canada
Carpenter,Eddie,N,1920,1921,D,73,170,June,15,1890,USA
Cleghorn,Sprague,Y,1919,1928,D,70,190,March,11,1890,Canada
Cook,Lloyd,N,1925,1925,D,73,170,March,21,1890,Canada
Harris,Wilfred,N,1925,1925,F,71,165,October,11,1890,Canada
Lowrey,Ed,N,1918,1921,F,66,160,August,13,1891,Canada
Denneny,Cy,Y,1918,1929,F,67,168,December,23,1891,Canada
Foyston,Frank,Y,1927,1928,F,69,158,February,2,1891,Canada
Duncan,Art,N,1927,1931,D,73,190,July,4,1891,Canada
Matz,Johnny,N,1925,1925,F,NA,NA,June,1,1891,USA
Bell,Billy,N,1918,1924,F,70,180,June,10,1891,Canada
Gardiner,Herb,Y,1927,1929,D,70,190,May,8,1891,Canada
Prodger,Goldie,N,1920,1925,F,70,180,October,18,1891,Canada
Cleghorn,Odie,N,1919,1928,F,69,195,September,19,1891,Canada
Holmes,Harry,Y,1918,1928,G,70,170,February,21,1892,Canada
Ritchie,Dave,N,1918,1926,D,67,180,January,12,1892,Canada
Heffernan,Frank,N,1920,1920,D,73,210,January,12,1892,Canada
Broadbent,Punch,Y,1919,1929,F,67,183,July,13,1892,Canada
Irvin,Dick,Y,1927,1929,F,69,162,July,19,1892,Canada
Reise,Leo,N,1921,1930,D,71,175,June,1,1892,Canada
Wilson,Cully,N,1920,1927,F,68,180,June,5,1892,Canada
Coughlin,John,N,1918,1921,F,70,170,June,6,1892,Canada
Coutu,Billy,N,1918,1927,D,71,190,March,1,1892,Canada
Winkler,Hal,N,1927,1928,G,68,150,March,20,1892,Canada
Bouchard,Edmond,N,1922,1929,F,70,185,May,24,1892,Canada
Brooks,Art,N,1918,1918,G,NA,NA,NA,NA,1892,Canada
Fowler,Hec,N,1925,1925,G,71,190,October,14,1892,Canada
Gorman,Ed,N,1925,1928,D,73,180,September,25,1892,Canada
Benedict,Clint,Y,1918,1930,G,NA,NA,September,26,1892,Canada
