IdealMateHeight,Sex,Height,Age
66,F,59,28
70,F,60,36
70,F,60,39
72,F,60,26
72,F,60,30
65,F,61,26
67,F,61,36
67,F,61,28
68,F,61,32
72,F,61,30
72,F,61,26
74,F,61,28
66,F,62,23
67,F,62,30
68,F,62,24
71,F,62,35
72,F,62,28
66,F,62,27
67,F,62,33
68,F,62,30
71,F,62,27
72,F,62,26
68,F,63,27
70,F,63,28
72,F,63,29
72,F,63,24
74,F,63,34
74,F,63,29
68,F,64,30
70,F,64,29
72,F,64,28
68,F,64,29
70,F,64,37
72,F,64,35
70,F,65,33
72,F,65,33
70,F,65,31
72,F,65,28
70,F,66,40
71,F,66,28
72,F,66,25
73,F,66,23
70,F,66,29
71,F,66,31
72,F,66,33
73,F,66,33
69,F,67,25
73,F,67,31
74,F,67,34
74,F,67,32
76,F,67,33
72,F,67,29
68,F,68,24
72,F,68,35
73,F,68,31
74,F,68,24
75,F,68,32
68,F,68,34
72,F,68,23
73,F,68,32
74,F,68,39
75,F,68,24
72,F,69,32
72,F,69,32
77,F,70,31
75,F,71,31
75,F,71,28
76,F,72,30
60,M,67,33
63,M,67,29
64,M,67,33
65,M,67,30
66,M,67,28
67,M,67,30
64,M,67,31
65,M,67,34
66,M,67,32
67,M,67,24
60,M,68,31
62,M,68,33
63,M,68,28
64,M,68,28
65,M,68,29
66,M,68,29
64,M,68,25
65,M,68,30
66,M,68,35
60,M,69,30
62,M,69,28
64,M,69,34
65,M,69,30
62,M,69,32
64,M,69,41
65,M,69,31
63,M,70,36
64,M,70,20
64,M,70,29
65,M,70,32
66,M,70,28
66,M,70,29
68,M,70,26
65,M,71,26
66,M,71,29
67,M,71,31
65,M,72,29
66,M,72,29
67,M,72,26
65,M,72,25
66,M,72,29
67,M,72,34
68,M,72,27
65,M,73,29
66,M,73,25
66,M,73,28
66,M,73,30
67,M,73,28
72,M,73,24
67,M,74,30
68,M,74,24
69,M,74,36
70,M,74,28
67,M,74,32
69,M,74,27
70,M,74,29
66,M,75,34
66,M,75,32
67,M,75,35
69,M,75,33
63,M,76,31
65,M,76,29
68,M,76,28
68,M,76,35
69,M,76,31
71,M,76,33
