Sex,USA,White,NameChange,Drama,Birth,Final,Alive,Films,FourStarFilms,Wins,Noms,FirstFilmYear,FirstWinYear,FirstNomYear
1,Yes,Yes,No,Yes,1913,1969,0,4,2,0,0,1954,,
1,Yes,Yes,No,No,1921,2001,1,37,4,0,0,1972,,
1,Yes,Yes,No,Yes,1962,2001,1,38,6,0,0,1980,,
1,Yes,Yes,Yes,No,1929,2001,1,45,1,0,0,1959,,
1,Yes,No,No,Yes,1934,1986,0,8,2,0,1,1969,,1984
1,Yes,Yes,No,Yes,1890,1963,0,139,23,0,1,1916,,1931
0,Yes,Yes,No,Yes,1909,1978,0,16,1,0,0,1935,,
0,Yes,Yes,No,Yes,1906,1974,0,85,20,0,4,1929,,1942
1,No,Yes,No,Yes,1899,1972,0,123,20,0,2,1932,,1936
1,Yes,Yes,No,No,1894,1972,0,29,2,0,0,1933,,
1,Yes,Yes,No,Yes,1927,1975,0,15,3,0,0,1964,,
1,Yes,Yes,No,Yes,1940,2001,1,31,16,1,8,1969,1992,1972
1,Yes,Yes,No,No,1934,2001,1,62,12,0,2,1957,,1966
1,No,Yes,No,Yes,1934,2001,1,58,17,0,1,1960,,1968
1,No,Yes,No,Yes,1909,1961,0,24,4,0,0,1936,,
1,No,Yes,No,Yes,1867,1952,0,38,7,0,1,1922,,1940
1,Yes,Yes,Yes,No,1947,2001,1,17,7,0,1,1974,,1987
1,No,Yes,No,Yes,1936,2001,1,42,15,0,5,1960,,1963
1,No,Yes,Yes,No,1914,2000,0,61,19,1,4,1934,1957,1952
1,Yes,Yes,No,No,1878,1960,0,5,2,0,0,1937,,
1,No,Yes,No,Yes,1907,1995,0,70,11,0,1,1939,,1944
0,No,Yes,No,Yes,1939,2001,1,64,5,0,0,1960,,
1,No,Yes,No,Yes,1916,1987,0,55,9,0,0,1946,,
1,No,Yes,No,No,1904,1957,0,22,4,0,0,1943,,
0,Yes,No,No,Yes,1953,2001,1,41,5,0,1,1978,,1983
1,Yes,Yes,No,No,1892,1977,0,7,0,0,1,1923,,1932
0,Yes,Yes,Yes,Yes,1938,2001,1,20,1,0,1,1968,,1970
0,Yes,Yes,No,Yes,1892,1939,0,74,8,1,2,1914,1937,1936
0,Yes,Yes,No,No,1926,2001,1,22,2,0,0,1954,,
0,Yes,Yes,No,Yes,1899,1991,0,44,13,0,1,1931,,1944
0,No,Yes,No,No,1946,2001,1,19,2,0,0,1976,,
0,Yes,Yes,No,No,1888,1974,0,86,15,0,0,1940,,
0,Yes,Yes,Yes,Yes,1931,1989,0,21,7,0,0,1950,,
0,No,Yes,No,Yes,1962,2001,1,19,3,0,0,1985,,
0,Yes,Yes,No,Yes,1957,2001,1,41,7,0,0,1981,,
0,Yes,Yes,No,Yes,1953,2001,1,27,5,0,1,1975,,1983
0,Yes,Yes,No,Yes,1951,2001,1,33,6,0,1,1981,,1985
0,Yes,Yes,No,Yes,1950,2001,1,30,6,0,0,1976,,
1,No,Yes,Yes,Yes,1909,1978,0,52,8,0,0,1938,,
1,Yes,No,No,No,1962,2001,1,14,3,0,0,1989,,
0,Yes,Yes,No,Yes,1916,1974,0,35,3,0,0,1940,,
0,Yes,Yes,Yes,Yes,1914,1974,0,14,1,0,1,1935,,1937
1,No,Yes,No,Yes,1907,1988,0,31,5,0,0,1937,,
1,No,No,Yes,Yes,1956,2001,1,27,3,0,1,1968,,1988
0,Yes,No,No,Yes,1958,2001,1,28,9,0,1,1985,,1993
0,Yes,Yes,No,No,1923,1978,0,23,1,0,0,1944,,
0,No,Yes,No,Yes,1925,2001,1,66,18,0,3,1944,,1944
0,Yes,Yes,No,Yes,1951,2001,1,41,13,1,3,1969,1985,1982
0,Yes,Yes,No,Yes,1928,2001,1,33,3,0,1,1944,,1945
0,No,Yes,No,Yes,1890,1961,0,14,3,0,0,1951,,
0,Yes,Yes,No,Yes,1914,2000,0,173,24,0,0,1970,,
0,Yes,Yes,Yes,Yes,1901,1981,0,41,4,0,1,1929,,1931
0,No,Yes,No,No,1941,2001,1,48,7,0,2,1961,,1971
0,No,Yes,No,Yes,1918,2001,1,18,4,0,0,1937,,
0,Yes,Yes,No,Yes,1891,1978,0,44,9,0,0,1933,,
0,Yes,Yes,Yes,No,1912,2001,0,79,6,0,1,1927,,1987
0,No,Yes,No,Yes,1909,1993,0,69,12,0,0,1931,,
0,Yes,Yes,No,Yes,1899,1959,0,28,1,0,0,1933,,
0,No,Yes,No,Yes,1907,1973,0,33,7,1,2,1941,1955,1955
0,No,Yes,No,Yes,1982,2001,1,5,2,1,1,1993,1993,1993
0,Yes,Yes,No,Yes,1947,2001,1,39,1,0,1,1972,,1987
0,Yes,Yes,Yes,Yes,1931,2001,1,59,8,1,5,1952,1962,1962
0,Yes,Yes,No,Yes,1923,1985,0,71,12,1,2,1940,1946,1946
0,Yes,Yes,No,Yes,1930,2001,1,78,14,0,0,1947,,
0,Yes,Yes,Yes,No,1893,1971,0,54,8,0,0,1935,,
0,Yes,Yes,No,Yes,1928,1988,0,36,3,0,1,1972,,1987
0,Yes,Yes,No,Yes,1903,1990,0,42,8,1,3,1934,1945,1943
0,Yes,Yes,Yes,Yes,1918,1993,0,53,7,0,1,1925,,1937
0,Yes,Yes,No,Yes,1958,2001,1,19,3,0,2,1986,,1990
0,No,Yes,Yes,Yes,1932,2001,1,55,5,0,1,1948,,1966
1,Yes,Yes,Yes,Yes,1928,2001,1,67,5,0,1,1957,,1957
1,Yes,Yes,No,No,1927,1988,0,52,13,0,0,1955,,
1,No,Yes,No,Yes,1937,2001,1,70,14,1,4,1960,1991,1968
1,No,Yes,No,Yes,1902,1977,0,38,10,0,0,1946,,
1,Yes,Yes,No,Yes,1932,1992,0,59,7,0,1,1953,,1956
1,No,Yes,No,Yes,1913,1989,0,68,13,0,1,1936,,1969
1,No,Yes,No,Yes,1916,2001,1,156,14,2,4,1936,1952,1952
1,Yes,Yes,No,Yes,1909,1975,0,96,3,0,0,1937,,
1,Yes,Yes,No,Yes,1889,1964,0,32,5,0,0,1935,,
0,Yes,Yes,No,No,1939,2001,1,26,1,0,0,1963,,
1,No,Yes,No,Yes,1930,2001,1,54,4,0,1,1964,,1996
1,Yes,Yes,No,No,1918,2001,1,108,11,1,1,1941,1974,1974
1,Yes,Yes,No,Yes,1914,1985,0,11,3,0,0,1942,,
1,Yes,Yes,No,No,1911,1979,0,56,7,0,1,1942,,1952
1,Yes,Yes,No,Yes,1914,1990,0,81,10,0,5,1918,,1949
1,Yes,Yes,No,Yes,1908,1981,0,69,8,0,2,1938,,1955
1,Yes,Yes,No,Yes,1908,1983,0,113,8,0,0,1941,,
0,No,Yes,Yes,No,1929,1993,0,30,11,1,5,1951,1953,1953
0,Yes,Yes,No,Yes,1918,2001,1,47,7,0,0,1944,,
0,Yes,Yes,No,Yes,1922,1990,0,72,10,0,1,1941,,1953
0,No,Yes,No,Yes,1923,1990,0,18,4,0,0,1956,,
1,Yes,Yes,No,No,1928,2001,1,16,2,0,0,1962,,
1,Yes,Yes,Yes,No,1949,2001,1,17,3,0,0,1982,,
0,Yes,Yes,Yes,Yes,1931,2001,1,31,6,0,1,1956,,1979
0,Yes,Yes,No,Yes,1927,1990,0,15,5,0,0,1954,,
0,Yes,Yes,No,Yes,1922,2001,1,15,4,0,1,1947,,1948
0,Yes,Yes,No,No,1922,2001,1,71,5,0,0,1943,,
0,Yes,Yes,Yes,No,1935,2001,1,29,5,0,1,1965,,1971
0,Yes,Yes,Yes,Yes,1948,2001,1,57,8,0,1,1968,,1969
0,Yes,Yes,No,Yes,1943,2001,1,4,0,0,0,1968,,
0,Yes,Yes,No,Yes,1909,1980,0,17,4,0,1,1937,,1937
0,No,Yes,No,No,1947,2001,1,19,2,0,0,1968,,
0,Yes,Yes,Yes,Yes,1907,1990,0,95,11,0,4,1927,,1937
0,Yes,Yes,No,Yes,1942,2001,1,30,7,1,2,1963,1968,1968
0,No,Yes,No,Yes,1924,2001,1,7,1,0,0,1944,,
1,Yes,Yes,No,Yes,1934,2001,1,18,1,0,0,1955,,
1,No,Yes,Yes,Yes,1888,1961,0,44,8,1,2,1930,1944,1944
1,Yes,Yes,No,Yes,1894,1971,0,21,8,0,0,1923,,
