start,stop,AliveTVC,WinnerTVC,ID,Sex,USA,White,NameChange,Drama,Birth,Final,Alive,Films,FourStarFilms,Wins,Noms,FirstFilmYear,FirstWinYear,FirstNomYear
0,56,0,0,1,1,Yes,Yes,No,Yes,1913,1969,0,4,2,0,0,1954,NA,NA
0,80,1,0,2,1,Yes,Yes,No,No,1921,2001,1,37,4,0,0,1972,NA,NA
0,39,1,0,3,1,Yes,Yes,No,Yes,1962,2001,1,38,6,0,0,1980,NA,NA
0,72,1,0,4,1,Yes,Yes,Yes,No,1929,2001,1,45,1,0,0,1959,NA,NA
0,52,0,0,5,1,Yes,No,No,Yes,1934,1986,0,8,2,0,1,1969,NA,1984
0,73,0,0,6,1,Yes,Yes,No,Yes,1890,1963,0,139,23,0,1,1916,NA,1931
0,69,0,0,7,0,Yes,Yes,No,Yes,1909,1978,0,16,1,0,0,1935,NA,NA
0,68,0,0,8,0,Yes,Yes,No,Yes,1906,1974,0,85,20,0,4,1929,NA,1942
0,73,0,0,9,1,No,Yes,No,Yes,1899,1972,0,123,20,0,2,1932,NA,1936
0,78,0,0,10,1,Yes,Yes,No,No,1894,1972,0,29,2,0,0,1933,NA,NA
0,48,0,0,11,1,Yes,Yes,No,Yes,1927,1975,0,15,3,0,0,1964,NA,NA
0,52,1,0,12,1,Yes,Yes,No,Yes,1940,2001,1,31,16,1,8,1969,1992,1972
52,61,1,1,12,1,Yes,Yes,No,Yes,1940,2001,1,31,16,1,8,1969,1992,1972
0,67,1,0,13,1,Yes,Yes,No,No,1934,2001,1,62,12,0,2,1957,NA,1966
0,67,1,0,14,1,No,Yes,No,Yes,1934,2001,1,58,17,0,1,1960,NA,1968
0,52,0,0,15,1,No,Yes,No,Yes,1909,1961,0,24,4,0,0,1936,NA,NA
0,85,0,0,16,1,No,Yes,No,Yes,1867,1952,0,38,7,0,1,1922,NA,1940
0,54,1,0,17,1,Yes,Yes,Yes,No,1947,2001,1,17,7,0,1,1974,NA,1987
0,65,1,0,18,1,No,Yes,No,Yes,1936,2001,1,42,15,0,5,1960,NA,1963
0,43,1,0,19,1,No,Yes,Yes,No,1914,2000,0,61,19,1,4,1934,1957,1952
43,86,0,1,19,1,No,Yes,Yes,No,1914,2000,0,61,19,1,4,1934,1957,1952
0,82,0,0,20,1,Yes,Yes,No,No,1878,1960,0,5,2,0,0,1937,NA,NA
0,88,0,0,21,1,No,Yes,No,Yes,1907,1995,0,70,11,0,1,1939,NA,1944
0,62,1,0,22,0,No,Yes,No,Yes,1939,2001,1,64,5,0,0,1960,NA,NA
