LastName,FirstName,State,Party,Vote,AutoCont
"Murkowski,",Frank,AK,R,1,19700
"Stevens,",Ted,AK,R,1,13000
"Sessions,",Jeff,AL,R,1,9500
"Shelby,",Richard,AL,R,1,25000
"Hutchinson,",Tim,AR,R,1,4900
"Lincoln,",Blanche,AR,D,1,5500
"McCain,",John,AZ,R,0,29350
"Kyl,",Jon,AZ,R,1,14500
"Boxer,",Barbara,CA,D,0,1500
"Feinstein,",Dianne,CA,D,0,9750
"Allard,",Wayne,CO,R,1,7500
"Campbell,",Ben,CO,R,1,4000
"Dodd,",Christopher,CT,D,0,500
"Lieberman,",Joseph,CT,D,0,3000
"Carper,",Thomas,DE,D,1,17640
Biden,Joseph,DE,D,0,5125
"Graham,",Bob,FL,D,0,7000
"Nelson,",Bill,FL,D,0,300
"Cleland,",Max,GA,D,1,4500
"Miller,",Zell,GA,D,1,1000
"Akaka,",Daniel,HI,D,0,2350
"Inouye,",Daniel,HI,D,0,7000
"Harkin,",Tom,IA,D,0,4000
"Grassley,",Chuck,IA,R,1,22500
"Craig,",Larry,ID,R,1,26800
"Crapo,",Mike,ID,R,1,10000
"Durbin,",Richard,IL,D,0,15600
"Fitzgerald,",Peter,IL,R,1,13450
"Bayh,",Evan,IN,D,1,21000
"Lugar,",Richard,IN,R,1,23500
"Brownback,",Sam,KS,R,1,13500
"Roberts,",Pat,KS,R,1,9750
"Bunning,",Jim,KY,R,1,28850
"McConnell,",Mitch,KY,R,1,25000
"Breaux,",John,LA,D,1,18150
"Landrieu,",Mary,LA,D,1,5000
"Kennedy,",Edward,MA,D,0,3150
"Kerry,",John,MA,D,0,750
"Sarbanes,",Paul,MD,D,0,1500
"Mikulski,",Barbara,MD,D,1,18600
"Collins,",Susan,ME,R,0,4000
"Snowe,",Olympia,ME,R,0,6100
"Levin,",Carl,MI,D,1,133250
"Stabenow,",Debbie,MI,D,1,51668
"Dayton,",Mark,MN,D,0,0
"Wellstone,",Paul,MN,D,0,800
"Bond,",Christopher,MO,R,1,48939
"Carnahan,",Jean,MO,D,1,4250
"Cochran,",Thad,MS,R,1,9000
"Lott,",Trent,MS,R,1,24000
"Baucus,",Max,MT,D,1,18500
"Burns,",Conrad,MT,R,1,25000
"Edwards,",John,NC,D,0,0
"Helms,",Jesse,NC,R,1,10500
"Conrad,",Kent,ND,D,1,21125
"Dorgan,",Byron,ND,D,1,15000
"Hagel,",Charles,NE,R,1,10400
"Nelson,",Ben,NE,D,1,5000
"Gregg,",Judd,NH,R,0,5000
"Smith,",Bob,NH,R,1,15500
"Corzine,",Jon,NJ,D,0,0
"Torricelli,",Robert,NJ,D,0,6150
"Bingaman,",Jeff,NM,D,0,1000
"Domenici,",Pete,NM,R,1,15000
"Reid,",Harry,NV,D,0,1000
"Ensign,",John,NV,R,1,27500
"Clinton,",Hillary,NY,D,0,6530
"Schumer,",Charles,NY,D,0,2000
"DeWine,",Mike,OH,R,1,48350
"Voinovich,",George,OH,R,1,41224
"Inhofe,",James,OK,R,1,28600
"Nickles,",Don,OK,R,1,35500
"Smith,",Gordon,OR,R,0,18500
"Wyden,",Ron,OR,D,0,2000
"Santorum,",Rick,PA,R,1,18000
"Specter,",Arlen,PA,R,1,25500
"Chafee,",Lincoln,RI,R,0,250
"Reed,",Jack,RI,D,0,3000
"Hollings,",Ernest,SC,D,0,10500
"Thurmond,",Strom,SC,R,1,7350
"Daschle,",Thomas,SD,D,0,20000
"Johnson,",Tim,SD,D,1,4500
"Frist,",William,TN,R,1,22250
"Thompson,",Fred,TN,R,1,13250
"Gramm,",Phil,TX,R,1,18550
"Hutchison,",Kay,TX,R,1,12000
"Bennett,",Robert,UT,R,1,6000
"Hatch,",Orrin,UT,R,1,22400
"Allen,",George,VA,R,1,14500
"Warner,",John,VA,R,1,26800
"Jeffords,",James,VT,D,0,8000
"Leahy,",Patrick,VT,D,0,750
"Cantwell,",Maria,WA,D,0,0
"Murray,",Patty,WA,D,0,0
"Feingold,",Russell,WI,D,1,1326
"Kohl,",Herb,WI,D,1,0
"Rockefeller,",John,WV,D,0,26000
"Byrd,",Robert,WV,D,1,14000
"Enzi,",Mike,WY,R,1,2000
"Thomas,",Craig,WY,R,1,8600
