state,time,net,age,sex
VA,6034,5629,29,F
VA,4730,4439,40,M
VA,5069,5032,34,F
DC,5408,5031,38,F
VA,4488,4445,31,M
DC,3573,3569,32,M
VA,3689,3685,27,M
MD,5215,4896,36,M
VA,5925,5774,34,M
VA,5402,5307,34,F
MD,7289,6963,35,F
VA,5623,5342,35,F
VA,4967,4745,31,M
MD,4977,4932,51,M
MA,7939,7477,47,F
VA,6141,5870,28,F
DC,7062,7062,34,F
DC,3700,3696,31,M
VA,6348,5955,22,F
DC,5767,5559,28,M
MD,5093,5086,56,F
DC,5870,5662,29,F
MD,6349,6349,31,M
MD,7541,7541,35,F
MD,7266,6780,48,F
NY,6007,5566,25,F
VA,4345,4337,30,M
VA,5010,4762,50,M
VA,7102,6856,30,F
VA,7088,6973,32,M
VA,6545,6545,31,F
MD,7224,6767,18,F
DC,5399,5096,34,F
DC,6105,5935,32,F
VA,7298,7038,57,F
VA,5535,5237,24,F
MD,6488,6003,38,F
DC,5163,4785,24,M
VA,5754,5754,41,M
MD,6222,6222,30,F
NC,5919,5739,28,F
MD,4703,4638,33,F
VA,6646,6384,23,F
MD,5122,4913,27,M
DC,6847,6660,67,M
MD,5282,4903,36,M
VA,6316,6042,28,F
DC,6383,5967,40,M
MD,7132,6863,26,F
WV,5634,5430,26,F
MD,4548,4516,49,M
MD,5808,5455,36,F
VA,5475,5320,32,M
MD,5906,5821,36,F
MD,6119,5719,27,F
VA,5905,5715,46,M
MD,5782,5393,48,M
MD,5203,5098,32,M
VA,4676,4676,44,M
MD,7388,7073,36,F
VA,5709,5363,45,F
NY,6705,6566,53,F
VA,6032,6032,24,M
VA,4878,4825,33,M
MD,4053,4047,49,M
MD,6093,5898,34,M
VA,6070,5678,30,M
VA,6471,6133,57,M
VA,5642,5298,61,M
MD,7113,6672,50,F
MD,6394,6248,57,F
MD,5712,5633,20,F
VA,6196,5751,27,F
VA,7746,7437,33,F
MD,5617,5416,32,F
VA,5581,5237,35,M
MA,6198,5874,58,M
VA,5805,5528,24,F
MD,6463,6229,24,F
MD,5319,4977,37,M
VA,4952,4841,31,M
DC,4597,4388,25,M
VA,6672,6607,49,M
DC,4884,4840,24,F
VA,5310,5160,54,M
NJ,7045,6777,44,F
MD,5335,5201,42,M
NY,5048,4930,36,M
NC,6324,6002,22,F
VA,6361,5872,25,F
PA,4650,4605,44,M
MD,5746,5298,29,F
MD,6588,6277,52,F
DC,5405,5129,25,F
VA,3680,3674,41,M
MD,6507,6129,28,M
VA,4848,4632,37,M
PA,6250,5910,22,F
DC,4200,4145,45,M
NH,7740,7236,48,F
MD,5263,5040,32,M
VA,6371,5879,44,M
MD,5963,5752,40,F
VA,7852,7739,61,M
VA,4834,4677,24,M
DC,5086,4898,31,F
DC,4758,4572,40,M
MD,5026,4899,50,M
MD,3974,3948,35,M
DC,6206,6064,26,F
VA,7239,7239,57,M
VA,4837,4659,39,M
VA,5615,5416,56,M
VA,6313,5852,37,M
MA,5460,5264,35,F
VA,5520,5295,33,F
MD,6070,5832,25,M
DC,4388,4292,19,F
VA,3915,3863,37,M
VA,4464,4409,50,M
DC,5659,5470,43,M
PA,6331,6026,53,M
VA,4639,4560,25,F
VA,8374,8374,53,F
VA,6097,5691,41,M
DC,7172,7172,34,F
VA,8709,8709,28,F
NY,5540,5476,34,M
VA,5397,5397,25,F
MD,5038,5038,24,M
MD,6074,5872,37,M
MD,6354,6354,27,M
TX,6536,6458,59,F
MD,5906,5745,27,F
VA,6002,5690,62,M
DC,4824,4786,30,F
DC,6148,5788,36,F
DC,6531,6142,23,M
NY,7565,7565,30,M
MD,6098,5799,51,F
CO,6193,5840,58,F
MD,4744,4744,37,M
VA,6257,6029,35,M
VA,7703,7452,59,F
MD,6453,6363,66,F
DC,4838,4808,27,M
MD,4260,4047,26,M
NY,5063,4952,34,M
VA,5365,4995,30,M
DC,5384,5200,32,M
VA,4875,4794,25,F
VA,5456,5214,29,M
MD,6059,5989,23,M
VA,5335,5226,27,F
VA,6051,5892,37,M
VA,5374,5040,49,M
DC,6906,6478,26,F
DC,4818,4752,25,M
VA,6286,5856,30,M
PA,5582,5582,37,F
DC,7058,6573,34,F
MD,5053,4918,61,M
MD,6081,5981,31,F
MD,6366,5969,59,M
MD,7024,6859,36,F
DC,4419,4419,37,F
DC,5822,5584,25,F
MD,7445,7445,41,F
DC,8441,8195,28,F
DC,3458,3455,40,M
DC,6371,6081,25,F
DC,4826,4641,24,F
VA,5260,4985,24,F
NJ,4089,4055,35,M
VA,5234,4987,47,F
DC,4137,4122,50,M
VA,6371,5959,62,M
MD,7113,6801,35,F
VA,3665,3655,50,M
DC,5030,4799,36,M
MD,5693,5317,56,M
VA,6616,6334,61,F
VA,5299,5299,25,F
MD,4741,4702,41,M
VA,5767,5563,46,M
VA,8710,8246,35,F
VA,7567,7202,32,F
MD,4719,4664,37,M
MD,8653,8354,70,M
VA,5536,5316,37,M
NC,6877,6548,31,F
VA,5720,5608,27,F
MD,6467,6049,24,F
VA,5234,4900,43,M
MD,6472,6215,31,F
