Name,Duration,Censored,CivilWar,InterState,Troops,Expend,Deaths,Area,Borders
USOG,2,0,0,0,15,59509,0,40000,1
UNTMIH,4,0,1,0,1525,5779536,,10714,2
MINUGUA,5,0,1,0,188,4769520,,42042,6
UMIC,5,0,0,0,1504,18681462,0,112517,4
UNIPOM,7,0,0,1,96,8035689,0,,1
UNOGIL,7,0,0,0,591,20727252,0,6464,3
UNSF,7,0,0,0,1576,134583536,0,250000,2
UNPSG,10,0,0,0,,,,,
UNCRO,11,0,0,0,15522,808987072,16,1025,8
UNOSOMI,12,0,1,0,947,39566836,8,,4
UNTAG,12,0,0,0,4493,382827712,11,512300,5
UNSMIH,13,0,1,0,1549,59924248,0,10714,2
USMIL,13,1,1,0,,,,,
UNOMSIL,15,0,1,0,,,,,
UNYOM,15,0,0,0,189,9127908,0,33800,3
UNMEE,16,1,0,1,,,,,
UNOMUR,16,0,1,0,81,91107280,0,3400,1
DOMREP,18,0,0,0,2,1288041,0,,1
UNTAC,19,0,0,0,18500,1436724096,55,112517,4
MONUA,21,0,0,0,3568,68234152,,774829,5
MINURCA,23,0,1,0,,,,,
MONUC,23,1,0,0,,,,,
UNGOMAP,23,0,0,0,50,14894647,0,2200,5
ONUMOZ,25,0,0,0,6843,421104896,24,48191,1
UNOSOMII,25,0,1,0,25945,1455088640,147,396308,4
UNTAES,25,0,0,0,5344,280237088,4,999,3
UNTAET,25,1,1,0,,,,,
ONUCA,26,0,0,1,1098,88660640,0,217422,13
MIPONUH,28,0,1,0,,1963920,,10714,2
UNMIK,29,1,0,0,,,,,
UVEMIII,29,0,0,0,7138,689930432,32,774829,5
UMIR,30,0,1,0,5522,290685280,26,16270,4
UVEMI,30,0,0,0,70,16603414,0,774829,5
UNIIMOG,31,0,0,1,400,177118064,1,47200,1
UNMIH,34,0,1,0,6912,290680448,6,10714,2
ONUSAL,46,0,1,0,683,186977440,5,13076,3
UNPROFOR,46,0,0,0,39922,3269366784,207,146337,6
UVEMII,46,0,0,0,876,156453296,5,774829,5
ONUC,48,0,0,0,19828,2071290240,234,145768,9
UNPREDEP,48,0,0,0,3752,111943440,17,2735,4
UNOMIL,49,0,0,0,374,74020656,0,69217,4
UNMOP,59,1,0,0,28,113349248,0,26,2
UNMOT,66,0,0,0,57,19773618,7,88937,4
UNEFII,70,0,0,1,6973,1069467264,52,4700,3
UNMIBH,71,1,0,0,2018,118625200,5,19741,4
UNOMIG,99,1,0,0,136,54437376,1,1820,5
MINURSO,127,1,0,0,370,248876880,7,165320,4
UNIKOM,127,1,0,1,1187,341144416,8,7800,1
UNEFI,128,0,0,1,6073,1112700416,90,2900,5
UNIFIL,284,1,0,0,5904,3318670080,214,385,4
UNDOF,319,1,0,1,1338,965419584,36,100,1
UNFICYP,452,1,0,0,6411,1944779264,168,5749,1
UNMOGIP,634,1,0,1,102,353389120,11,13300,1
UNTSO,641,1,0,1,572,1677630208,38,24674,8
