College,GradRate,SFRatio,AdmisRate,FacultyPhD,Type,Region,State,MathSAT,VerbalSAT,ACT
Alaska Pacific University,15,11.9,76,76,Private,West,AK,490,482,20
University of Alaska Southeast,39,9.5,80,39,Public,West,AK,,,
Talladega College,46,15.5,34,56,Private,South,AL,,,
Miles College,15,16.7,62,35,Private,South,AL,,,
University of North Alabama,76,19.4,65,62,Public,South,AL,,,
University of Montevallo,51,18.9,66,72,Public,South,AL,,,21
Alabama Agri. & Mech. Univ.,40,14.3,68,53,Public,South,AL,,,17
University of Alabama at Huntsville,38,12.7,70,83,Public,South,AL,542,468,24
University of Alabama at Birmingham,33,6.7,70,96,Public,South,AL,,,21
Alabama State University,15,18.7,71,48,Public,South,AL,,,
Judson College,43,17.9,73,70,Private,South,AL,,,22
Birmingham-Southern College,72,14,73,74,Private,South,AL,575,525,26
University of Mobile,52,16.6,73,59,Private,South,AL,,,22
University of Alabama at Tuscaloosa,50,17.3,79,80,Public,South,AL,,,23
Livingston University,36,18.8,79,58,Public,South,AL,,,19
Tuskegee University,65,12.2,81,70,Private,South,AL,,,
Samford University,61,14.7,83,74,Private,South,AL,,,
Huntingdon College,44,11.4,86,63,Private,South,AL,513,446,23
Jacksonville State University,33,20.1,87,66,Public,South,AL,,,20
Troy State University at Troy,48,23,87,50,Public,South,AL,510,470,20
Auburn University at Montgomery,42,18.1,88,74,Public,South,AL,,,21
Spring Hill College,70,14.4,90,80,Private,South,AL,525,480,24
Auburn University-Main Campus,69,16.7,90,85,Public,South,AL,575,501,24
University of South Alabama,43,13.3,91,80,Public,South,AL,,,23
Faulkner University,55,32.8,93,52,Private,South,AL,,,20
Stillman College,47,14.3,98,47,Private,South,AL,,,
Arkansas College (Lyon College),54,12.6,47,79,Private,South,AR,,,25
Harding University,73,17.7,62,71,Private,South,AR,530,490,24
John Brown University,75,13.3,67,68,Private,South,AR,509,484,23
University of Arkansas at Little Rock,19,14.7,75,61,Public,South,AR,,,19
Ouachita Baptist University,65,13.3,85,63,Private,South,AR,,,
University of Central Arkansas,36,20.5,86,71,Public,South,AR,,,22
Hendrix College,63,13.1,88,82,Private,South,AR,564,525,26
University of Arkansas at Fayetteville,39,14.8,96,73,Public,South,AR,,,
Arkansas State University,39,20,98,71,Public,South,AR,,,21
Arkansas Tech University,48,19.6,100,57,Public,South,AR,,,21
Southern Arkansas University,33,17,100,40,Public,South,AR,,,
Henderson State University,68,19,100,58,Public,South,AR,,,
Grand Canyon University,81,14.2,79,56,Private,West,AZ,485,441,22
Arizona State University Main campus,48,18.9,81,88,Public,West,AZ,521,453,23
Northern Arizona University,41,21.7,84,78,Public,West,AZ,495,444,22
University of Arizona,49,19.6,87,91,Public,West,AZ,526,462,23
California Institute of Technology,83,6.5,27,100,Private,West,CA,750,660,
Sonoma State University,40,16.1,36,79,Public,West,CA,482,486,22
Pomona College,91,8.9,37,94,Private,West,CA,700,640,31
Claremont McKenna College,87,9.6,41,99,Private,West,CA,670,600,28
University of California at Berkeley,78,15.8,42,93,Public,West,CA,654,564,
Harvey Mudd College,100,8.2,42,100,Private,West,CA,740,630,
California Lutheran University,60,12.4,44,72,Private,West,CA,495,436,21
University of California at Los Angeles,77,11.8,47,97,Public,West,CA,621,520,
California Polytechnic-San Luis,59,19.8,49,72,Public,West,CA,547,455,21
California State Univ. at Los Angeles,49,20.4,49,53,Public,West,CA,,,
United States International University,23,15.7,52,90,Private,West,CA,464,431,19
Pepperdine University,66,11.6,53,95,Private,West,CA,585,514,25
Pitzer College,73,10.4,56,100,Private,West,CA,590,560,26
Occidental College,79,10.5,57,91,Private,West,CA,570,510,
University of California at San Diego,66,13.9,59,100,Public,West,CA,616,515,26
University of La Verne,47,14.1,61,66,Private,West,CA,472,431,22
Holy Names College,44,7.8,61,75,Private,West,CA,450,448,
St. Mary's College of California,78,16.1,61,88,Private,West,CA,549,483,
Humboldt State University,65,16.4,63,80,Public,West,CA,501,455,22
Whittier College,52,13.6,64,84,Private,West,CA,507,454,
California Poly-Pomona,50,18.5,65,73,Public,West,CA,,,
San Francisco State University,55,17.4,66,75,Public,West,CA,444,372,19
California State Univ. at Bakersfield,24,13.4,68,82,Public,West,CA,450,392,21
University of California at Irvine,66,16.1,69,96,Public,West,CA,574,455,
Santa Clara University,100,13.9,69,88,Private,West,CA,,,
University of Judaism,55,7.2,69,100,Private,West,CA,551,489,
University of Southern California,68,11.4,70,90,Private,West,CA,592,498,25
University of San Diego,66,15.6,70,93,Private,West,CA,548,490,
California State Univ. at San Bernardino,49,20.3,70,93,Public,West,CA,440,399,
Thomas Aquinas College,71,10.9,70,68,Private,West,CA,589,583,
California State University at Sacramento,47,19.2,70,79,Public,West,CA,476,408,
Loyola Marymount University,84,14.2,71,84,Private,West,CA,549,485,
Pacific Union College,69,12.3,71,48,Private,West,CA,,,22
Concordia University,55,13.1,72,55,Private,West,CA,485,420,22
California State University at Fresno,61,21.2,73,90,Public,West,CA,,,
Scripps College,73,8.2,74,95,Private,West,CA,590,560,26
University of San Francisco,62,13.6,75,86,Private,West,CA,514,463,21
California State Univ. at Fullerton,56,19.9,75,88,Public,West,CA,476,395,21
San Diego State University,41,19.5,75,87,Public,West,CA,457,394,20
Westmont College,87,14.9,75,77,Public,West,CA,550,501,24
California State Univ. at Long Beach,48,20.3,75,80,Public,West,CA,456,382,21
College of Notre Dame,43,10.4,77,77,Private,West,CA,,,
University of California at Riverside,62,13.4,77,98,Public,West,CA,542,440,23
San Jose State University,46,17.4,79,72,Public,West,CA,467,371,19
Fresno Pacific College,54,10.5,79,59,Private,West,CA,532,476,22
University of California at Santa Cruz,59,21.3,80,94,Public,West,CA,554,505,
California State Univ. at Dominguez Hills,24,18.1,80,90,Public,West,CA,,,
Biola University,36,16.6,80,67,Private,West,CA,500,440,22
La Sierra University,49,12.6,80,69,Private,West,CA,468,420,20
Chapman University,47,12.8,80,72,Private,West,CA,501,456,22
Dominican College of San Rafael,50,11.6,81,56,Private,West,CA,452,432,
University of the Pacific,65,11.2,81,87,Private,West,CA,531,444,
University of Redlands,73,8.9,81,81,Private,West,CA,,,
Mount St. Mary's College,72,11.9,82,53,Private,West,CA,506,466,21
Point Loma Nazarene College,54,16.1,85,71,Private,West,CA,472,425,21
University of California at Santa Barbara,69,18.9,85,96,Public,West,CA,547,459,
Pacific Christian College,67,10.7,85,38,Private,West,CA,474,426,22
California Baptist College,43,13,85,56,Private,West,CA,441,395,19
Southern California College,43,18.6,88,63,Private,West,CA,466,443,21
Woodbury University,54,13.5,90,28,Private,West,CA,441,381,20
United States Air Force Academy,88,8.2,17,40,Public,West,CO,,,
University of Colorado at Denver,24,18.1,47,89,Public,West,CO,529,478,23
Colorado College,84,11.3,49,85,Private,West,CO,,,
Western State College of Colorado,52,19.4,60,76,Public,West,CO,470,420,21
University of Colorado at Boulder,66,19.9,66,90,Public,West,CO,,,
