start,stop,censTVC,SubjectID,UnemSpell,Censored,Age,Sex,Education,Race,NumDependents,UI,Married,CountyUnemRate,Homeowner,HourWageLastYear,WifeEmployed
0,1,0,2472,1,0,55,0,10,1,2,0,1,5,1,990,1
0,1,1,1260,2,0,23,0,11,0,2,1,0,7,0,752,0
1,2,0,1260,2,0,23,0,11,0,2,1,0,7,0,752,0
0,1,1,1717,16,0,25,0,12,0,1,0,0,7,0,421,0
1,2,1,1717,16,0,25,0,12,0,1,0,0,7,0,421,0
2,3,1,1717,16,0,25,0,12,0,1,0,0,7,0,421,0
3,4,1,1717,16,0,25,0,12,0,1,0,0,7,0,421,0
4,5,1,1717,16,0,25,0,12,0,1,0,0,7,0,421,0
5,6,1,1717,16,0,25,0,12,0,1,0,0,7,0,421,0
6,7,1,1717,16,0,25,0,12,0,1,0,0,7,0,421,0
7,8,1,1717,16,0,25,0,12,0,1,0,0,7,0,421,0
8,9,1,1717,16,0,25,0,12,0,1,0,0,7,0,421,0
9,10,1,1717,16,0,25,0,12,0,1,0,0,7,0,421,0
10,11,1,1717,16,0,25,0,12,0,1,0,0,7,0,421,0
11,12,1,1717,16,0,25,0,12,0,1,0,0,7,0,421,0
12,13,1,1717,16,0,25,0,12,0,1,0,0,7,0,421,0
13,14,1,1717,16,0,25,0,12,0,1,0,0,7,0,421,0
14,15,1,1717,16,0,25,0,12,0,1,0,0,7,0,421,0
15,16,0,1717,16,0,25,0,12,0,1,0,0,7,0,421,0
0,1,1,1717,26,1,24,0,12,0,1,0,0,7,0,1282,0
1,2,1,1717,26,1,24,0,12,0,1,0,0,7,0,1282,0
2,3,1,1717,26,1,24,0,12,0,1,0,0,7,0,1282,0
3,4,1,1717,26,1,24,0,12,0,1,0,0,7,0,1282,0
4,5,1,1717,26,1,24,0,12,0,1,0,0,7,0,1282,0
5,6,1,1717,26,1,24,0,12,0,1,0,0,7,0,1282,0
6,7,1,1717,26,1,24,0,12,0,1,0,0,7,0,1282,0
7,8,1,1717,26,1,24,0,12,0,1,0,0,7,0,1282,0
8,9,1,1717,26,1,24,0,12,0,1,0,0,7,0,1282,0
9,10,1,1717,26,1,24,0,12,0,1,0,0,7,0,1282,0
10,11,1,1717,26,1,24,0,12,0,1,0,0,7,0,1282,0
11,12,1,1717,26,1,24,0,12,0,1,0,0,7,0,1282,0
12,13,1,1717,26,1,24,0,12,0,1,0,0,7,0,1282,0
13,14,1,1717,26,1,24,0,12,0,1,0,0,7,0,1282,0
14,15,1,1717,26,1,24,0,12,0,1,0,0,7,0,1282,0
15,16,1,1717,26,1,24,0,12,0,1,0,0,7,0,1282,0
16,17,1,1717,26,1,24,0,12,0,1,0,0,7,0,1282,0
17,18,1,1717,26,1,24,0,12,0,1,0,0,7,0,1282,0
18,19,1,1717,26,1,24,0,12,0,1,0,0,7,0,1282,0
19,20,1,1717,26,1,24,0,12,0,1,0,0,7,0,1282,0
20,21,1,1717,26,1,24,0,12,0,1,0,0,7,0,1282,0
21,22,1,1717,26,1,24,0,12,0,1,0,0,7,0,1282,0
22,23,1,1717,26,1,24,0,12,0,1,0,0,7,0,1282,0
23,24,1,1717,26,1,24,0,12,0,1,0,0,7,0,1282,0
24,25,1,1717,26,1,24,0,12,0,1,0,0,7,0,1282,0
25,26,1,1717,26,1,24,0,12,0,1,0,0,7,0,1282,0
0,1,1,1144,3,0,34,0,9,0,5,1,1,10,1,1000,1
1,2,1,1144,3,0,34,0,9,0,5,1,1,10,1,1000,1
2,3,0,1144,3,0,34,0,9,0,5,1,1,10,1,1000,1
0,1,1,694,2,0,25,0,12,0,2,0,1,10,1,876,1
1,2,0,694,2,0,25,0,12,0,2,0,1,10,1,876,1
0,1,1,694,23,0,23,0,12,0,2,1,1,7,1,946,1
1,2,1,694,23,0,23,0,12,0,2,1,1,7,1,946,1
2,3,1,694,23,0,23,0,12,0,2,1,1,7,1,946,1
3,4,1,694,23,0,23,0,12,0,2,1,1,7,1,946,1
4,5,1,694,23,0,23,0,12,0,2,1,1,7,1,946,1
5,6,1,694,23,0,23,0,12,0,2,1,1,7,1,946,1
6,7,1,694,23,0,23,0,12,0,2,1,1,7,1,946,1
7,8,1,694,23,0,23,0,12,0,2,1,1,7,1,946,1
8,9,1,694,23,0,23,0,12,0,2,1,1,7,1,946,1
9,10,1,694,23,0,23,0,12,0,2,1,1,7,1,946,1
10,11,1,694,23,0,23,0,12,0,2,1,1,7,1,946,1
11,12,1,694,23,0,23,0,12,0,2,1,1,7,1,946,1
12,13,1,694,23,0,23,0,12,0,2,1,1,7,1,946,1
13,14,1,694,23,0,23,0,12,0,2,1,1,7,1,946,1
14,15,1,694,23,0,23,0,12,0,2,1,1,7,1,946,1
15,16,1,694,23,0,23,0,12,0,2,1,1,7,1,946,1
