SubjectID,UnemSpell,Censored,Age,Sex,Education,Race,NumDependents,UI,Married,CountyUnemRate,Homeowner,HourWageLastYear
2472,1,0,55,0,10,1,2,0,1,5,1,990
1260,2,0,23,0,11,0,2,1,0,7,0,752
1717,16,0,25,0,12,0,1,0,0,7,0,421
1717,26,1,24,0,12,0,1,0,0,7,0,1282
1144,3,0,34,0,9,0,5,1,1,10,1,1000
694,2,0,25,0,12,0,2,0,1,10,1,876
694,23,0,23,0,12,0,2,1,1,7,1,946
5292,15,1,30,1,11,1,3,0,0,6,0,205
6624,2,0,53,0,10,1,4,1,1,11,1,1145
2920,4,0,24,0,9,0,4,1,1,7,1,917
2920,15,0,23,0,9,0,4,1,1,7,1,818
5069,4,0,30,1,10,1,4,0,0,12,0,288
5069,3,0,29,1,10,1,4,0,0,13,0,801
6821,12,0,45,1,12,1,1,1,0,5,0,543
134,4,0,47,1,16,1,2,0,0,7,0,520
134,16,0,46,1,16,1,2,0,0,7,0,664
5565,20,0,30,0,13,1,4,1,1,4,0,534
980,21,0,33,1,10,0,2,1,0,5,1,702
2590,16,0,26,0,12,0,6,1,1,14,0,803
2590,16,0,25,0,12,0,6,1,1,7,0,799
5640,13,0,27,0,16,1,4,1,1,12,0,1455
5640,36,0,26,0,16,1,4,1,1,13,0,890
318,6,0,56,0,11,0,4,1,1,13,1,906
5052,13,0,28,1,11,1,4,0,0,12,0,650
5052,12,0,27,1,11,1,4,0,0,13,0,325
713,37,1,25,0,12,0,2,1,1,5,0,566
5437,4,0,56,0,11,0,4,1,1,9,1,1667
5317,98,1,48,0,11,1,4,0,1,7,0,417
173,4,0,29,0,12,0,4,0,1,2,1,225
1722,6,0,26,0,12,1,2,0,0,6,0,417
1717,2,0,27,0,13,0,1,1,0,7,0,455
677,1,0,50,0,8,0,2,1,1,3,1,1552
677,1,0,49,0,8,0,2,1,1,5,1,893
5332,17,1,26,0,11,1,5,0,1,6,0,644
5332,12,0,25,0,11,1,4,0,1,5,0,513
1918,1,0,28,0,12,0,3,0,1,7,1,974
6709,12,0,29,0,7,1,5,1,1,11,0,364
6709,13,1,28,0,7,1,4,1,1,7,0,1132
1756,55,1,22,0,10,0,6,1,1,7,0,2530
263,8,0,32,0,12,0,4,1,1,7,1,1183
625,12,0,29,1,16,0,1,1,0,5,0,474
6086,4,0,23,0,12,1,1,0,0,7,0,112
2545,62,1,30,0,12,0,2,0,1,7,0,438
1196,2,0,55,0,8,0,2,1,0,7,1,1076
789,3,0,32,0,12,0,3,1,1,7,1,924
789,9,0,31,0,12,0,3,1,1,7,1,945
432,26,0,27,0,10,0,3,1,1,5,0,597
432,3,0,26,0,10,0,3,1,1,9.5,0,511
563,2,0,33,0,13,0,4,1,1,9,1,1533
563,6,0,32,0,13,0,4,1,1,7,1,1425
1570,98,1,54,0,11,1,2,0,1,9,1,0
830,35,1,39,0,12,0,2,1,1,9,1,1782
2062,1,0,22,0,12,0,2,0,1,5,0,625
6646,10,0,27,1,9,1,2,1,0,5,0,578
1167,17,0,36,0,8,1,8,1,1,11,1,297
5437,32,1,28,0,12,0,3,1,1,9,0,1243
87,13,0,22,0,12,0,3,0,1,7,0,158
5052,47,1,25,0,11,1,1,0,0,12,0,118
729,17,1,24,0,12,0,5,1,1,7,1,1236
5570,1,0,20,0,12,1,3,1,1,6,1,659
2608,1,0,30,0,10,1,6,0,1,9,1,702
2608,2,0,30,0,10,1,5,0,1,7,1,409
461,2,0,64,0,5,0,2,1,1,7,1,639
461,12,0,31,0,10,0,4,1,1,10,1,611
898,6,0,41,1,12,0,1,0,0,8,0,417
898,15,0,40,1,12,0,1,0,0,7,0,241
5921,2,0,35,0,12,1,4,1,1,7,1,1358
1698,16,0,23,0,14,0,3,1,1,9.5,0,241
5492,52,1,31,1,11,1,2,0,0,7,0,0
771,1,0,35,0,9,0,4,1,1,7,1,764
129,7,0,23,0,10,0,4,1,1,10,0,400
1786,34,1,55,0,12,0,4,1,1,3,1,432
1786,26,0,54,0,12,0,4,1,1,3,1,591
632,1,0,39,0,12,0,4,0,1,7,0,1510
1022,2,0,24,1,11,0,3,0,0,9.5,0,656
40,14,0,20,0,12,0,3,0,1,5,1,561
2250,2,0,27,0,13,0,3,1,1,7,1,1309
840,22,0,23,0,9,1,4,1,1,5,0,450
840,17,1,23,0,9,1,4,1,1,5,0,274
1166,18,0,26,0,11,0,2,1,1,8,0,916
5995,6,0,46,0,8,1,4,1,1,12,1,1359
5995,2,0,45,0,8,1,4,1,1,13,1,1217
6115,78,1,26,0,12,1,5,1,1,11,1,0
2434,4,0,34,0,16,0,4,1,0,7,0,524
4,17,0,28,0,9,0,4,1,1,7,1,476
548,71,1,38,0,12,0,7,1,1,12,1,0
796,2,0,27,0,11,0,2,1,1,6,0,918
1541,8,0,25,0,12,0,3,1,1,13,1,1206
245,2,0,29,0,13,1,4,1,1,11,1,972
1353,2,0,26,0,14,0,3,0,1,9.5,1,998
2713,10,0,39,0,13,0,1,1,0,9,0,471
2515,2,0,26,0,12,0,4,0,1,5,0,239
1893,2,0,23,0,12,0,2,0,1,5,0,517
1762,98,1,29,1,10,0,4,0,0,12,0,0
6459,4,0,45,0,9,1,4,0,1,7,0,516
5991,3,0,40,0,11,1,1,0,1,5,1,303
6499,4,0,41,0,13,1,4,1,1,11,0,1224
6499,4,0,40,0,13,1,8,1,1,7,0,943
6415,2,0,44,1,12,0,4,1,0,3,0,758
6708,98,1,30,1,8,1,3,0,0,7,0,0
1538,4,0,25,0,16,0,1,0,0,7,0,244
2851,18,0,24,0,12,0,2,1,1,13,1,1091
2851,25,0,23,0,12,0,2,1,1,13,1,365
2487,2,0,30,0,11,0,4,1,1,14,1,1276
2487,2,0,29,0,11,0,3,1,1,13,1,1130
2632,1,0,34,0,12,0,4,1,1,11,0,1205
2632,1,0,33,0,12,0,4,1,1,11,0,1019
263,12,0,20,0,12,0,2,1,1,7,0,703
2632,13,0,22,0,10,0,4,1,1,11,0,641
5317,26,1,22,0,11,1,1,0,0,7,0,315
5317,21,1,21,0,11,1,1,0,0,7,0,545
5215,98,1,47,0,8,1,6,0,1,7,1,0
1579,4,0,29,1,17,0,3,0,0,5,0,380
1351,1,0,44,0,12,0,4,0,1,12,1,767
6200,12,0,25,0,11,1,1,0,0,7,0,330
6200,1,0,24,0,11,1,1,0,0,7,0,264
5360,26,1,39,1,11,1,4,1,0,6,1,0
2844,12,0,62,1,4,1,1,0,0,7,1,227
6493,1,0,37,1,12,1,3,0,0,8,1,1250
6493,1,0,36,1,12,1,4,1,0,7,1,824
1697,39,0,30,0,11,0,6,1,1,8,1,1078
1697,49,1,29,0,11,0,6,1,1,9.5,1,641
2665,62,1,23,0,9,1,6,1,1,10,0,0
2050,2,0,35,0,12,0,3,1,1,6,0,1534
6630,3,0,62,1,12,1,1,1,0,9,0,441
6630,2,0,61,1,12,1,1,1,0,7,0,438
6626,3,0,23,1,12,1,1,1,0,11,0,444
6626,1,0,35,1,12,1,1,1,1,7,0,499
2529,10,0,30,0,12,0,4,1,1,9,1,1077
2529,5,0,29,0,12,0,4,1,1,7,1,824
6827,3,0,29,0,12,0,4,1,1,9,1,1121
6827,4,0,28,0,12,0,4,1,1,7,1,918
444,10,0,32,0,15,0,4,0,1,7,1,530
444,8,0,31,0,15,0,4,0,1,7,1,365
2661,14,0,26,0,9,0,4,1,1,7,1,750
6051,24,0,28,0,11,1,1,1,0,7,0,536
2527,15,1,50,0,12,0,3,0,1,5,1,1193
1657,1,0,38,0,10,0,4,1,1,3,1,1294
1657,1,0,37,0,10,0,4,1,1,5,1,1024
1295,2,0,52,0,12,0,3,1,1,7,1,472
2516,1,0,43,0,12,0,3,0,1,8,1,524
597,12,0,40,0,7,0,1,1,0,4,1,581
597,1,0,39,0,7,0,1,1,0,7,1,425
5713,3,0,54,0,9,0,1,0,0,7,0,412
5610,12,0,34,1,11,1,4,1,0,6,0,695
