Game,GameSales ,DaysReleased,CriticReview,UserReview,Console,Generation,Genre,SystemExclusive
Metroid Prime 3,520000,57,90.6,89,Wii,3,Action,Y
Zelda: Twilight Princess,1320000,339,94.2,92,Wii,3,Action Adventure,N
Call of Duty 3,6900000,344,69.1,82,Wii,3,Action,N
Sonic and the Secret Rings,720000,246,71.1,82,Wii,3,Platformer,Y
Super Paper Mario,1570000,198,85.3,88,Wii,3,Platformer,Y
Madden NFL 07,410000,344,81.6,78,Wii,3,Sports,N
WarioWare: Smooth Moves,1890000,296,81.6,81,Wii,3,Other,Y
Dragon Ball Z: Budokai Tenkaichi 2,180000,343,71.6,75,Wii,3,Fighting,N
Mario Strikers Charged,920000,152,79.5,84,Wii,3,Sports,Y
Mario Party 8,2570000,148,64,87,Wii,3,Other,Y
Lair,180000,55,56.8,78,PS3,3,Action,Y
Mobile Suit Gundam: Crossfire,30000,347,36.2,43,PS3,3,Action,Y
Resistance: Fall of Man,1740000,347,87.3,79,PS3,3,Action,Y
The Elder Scrolls IV: Oblivion,430000,218,93,77,PS3,3,RPG,N
Tiger Woods PGA Tour 07,200000,344,81.9,60,PS3,3,Sports,N
Warhawk,200000,57,84,76,PS3,3,Action,Y
Major League Baseball 2K7,170000,240,73.4,56,PS3,3,Sports,N
Marvel: Ultimate Alliance,200000,341,79.3,73,PS3,3,Action,N
MotorStorm,1320000,314,82.7,79,PS3,3,Racing,Y
Halo 3,5590000,29,93.2,85,Xbox 360,3,Action,Y
Call of Duty 2,1990000,706,90,88,Xbox 360,3,Action,N
Crackdown,1280000,246,83.4,83,Xbox 360,3,Action,Y
Viva Pinata,440000,349,84.6,78,Xbox 360,3,Other,Y
College Hoops 2K7,170000,338,82.4,72,Xbox 360,3,Sports,N
Need for Speed Carbon,1070000,358,77.9,73,Xbox 360,3,Racing,N
Ninety-Nine Nights,310000,552,62.9,70,Xbox 360,3,Action,Y
Condemned: Criminal Origins,450000,707,82.5,82,Xbox 360,3,Action,Y
Lego Star Wars II: The Original Trilogy,660000,409,81.4,81,Xbox 360,3,Action,N
Perfect Dark Zero,1230000,706,80.9,78,Xbox 360,3,Action,Y
WWE SmackDown! vs. RAW 2007,740000,348,80.3,72,Xbox 360,3,Sports,N
Lost Planet: Extreme Condition,1440000,307,79.6,79,Xbox 360,3,Action,Y
Ridge Racer 6,180000,706,75.6,72,Xbox 360,3,Racing,Y
Gears of War,4810000,351,93.8,87,Xbox 360,3,Action,Y
Peter Jackson's King Kong,360000,702,80.2,74,Xbox 360,3,Action,N
Shadow the Hedgehog,650000,708,52.6,67,GameCube,2,Platformer,N
Super Smash Bros. Melee,6580000,2163,89.9,89,GameCube,2,Fighting,Y
Metroid Prime,2770000,1802,96.3,88,GameCube,2,Action,Y
Harry Potter & the Goblet of Fire,310000,715,67.1,71,GameCube,2,Action Adventure,N
Harvest Moon: A Wonderful Life,580000,1442,80.8,79,GameCube,2,Other,N
Super Mario Sunshine,5910000,1923,91.6,84,GameCube,2,Platformer,Y
Star Fox Assault,620000,982,71.2,80,GameCube,2,Action,Y
Resident Evil 4,1660000,1016,95.9,92,GameCube,2,Action,N
Enter the Matrix,20000,1624,70.6,63,GameCube,2,Action,N
Need for Speed Underground,1160000,1437,83.4,80,GameCube,2,Racing,N
Final Fantasy: Crystal Chronicles,1360000,1537,80,79,GameCube,2,RPG,Y
Okami,150000,553,92.9,89,PS2,2,Action Adventure,Y
Guitar Hero II,3260000,351,92.1,84,PS2,2,Other,N
Grand Theft Auto III,11600000,2193,95.2,87,PS2,2,Action,N
Metal Gear Solid 2: Sons of Liberty,5560000,2172,94.9,86,PS2,2,Action,Y
DDRMAX2: Dance Dance Revolution,1660000,1492,82.3,74,PS2,2,Other,Y
Grandia III,240000,811,79.1,83,PS2,2,RPG,Y
Final Fantasy X,7950000,2287,91.5,88,PS2,2,RPG,Y
Twisted Metal: Black,1250000,2319,88.4,79,PS2,2,Action,Y
Destroy All Humans! 2,370000,373,76,80,PS2,2,Action,N
Tony Hawk's Pro Skater 3,3940000,2186,93.6,84,PS2,2,Sports,N
Hitman 2: Silent Assassin,2730000,1849,85.2,80,PS2,2,Action,N
Xenosaga Episode I,450000,2064,83.4,83,PS2,2,RPG,Y
Kingdom Hearts II,3660000,671,87.4,88,PS2,2,RPG,Y
Crash Bandicoot: the Wrath of Cortex,4970000,2185,70.1,64,PS2,2,Platformer,N
Prince of Persia: The Sands of Time,1880000,1448,91.6,88,PS2,2,Platformer,N
Star Ocean: Till the End of Time,1290000,1700,80.9,82,PS2,2,RPG,Y
Devil May Cry 3: Dante's Awakening,1620000,979,84.2,87,PS2,2,Action,Y
God of War,3020000,946,93.2,90,PS2,2,Action,Y
Madden NFL 06,3840000,807,85.5,77,PS2,2,Sports,N
Fable,2600000,1135,84.9,83,Xbox,2,RPG,Y
Panzer Dragoon Orta,50000,1770,90.3,83,Xbox,2,Action,Y
Forza Motorsport,1010000,902,93,86,Xbox,2,Racing,Y
Halo: Combat Evolved,6430000,2170,95.5,88,Xbox,2,Action,N
Dead or Alive 3,1630000,2170,85.8,83,Xbox,2,Fighting,Y
Conker: Live and Reloaded,620000,855,79.1,82,Xbox,2,Platformer,Y
Madden NFL 2005,1450000,1171,89.5,78,Xbox,2,Sports,N
Star Wars: Knights of the Old Republic,1950000,1560,94.3,90,Xbox,2,RPG,N
Ninja Gaiden,70000,1331,92,88,Xbox,2,Action,Y
Grand Theft Auto: San Andreas,1930000,869,92.4,85,Xbox,2,Action,N
Banjo-Kazooie,3650000,3433,91.1,87,N64,1,Platformer,Y
Super Mario 64,11890000,4140,96,92,N64,1,Platformer,Y
Star Fox 64,4030000,3832,89.8,87,N64,1,Action,Y
NFL Blitz,1050000,3332,89.3,79,N64,1,Sports,N
Zelda: Ocarina of Time,7600000,3259,97.6,90,N64,1,Action Adventure,Y
Goldeneye 007,8090000,3712,95.6,92,N64,1,Action,Y
Tony Hawk's Pro Skater,2110000,2794,92.1,81,N64,1,Sports,N
Diddy Kong Racing,4880000,3624,89.1,79,N64,1,Racing,Y
Turok 2: Seeds of Evil,1860000,3290,89.5,75,N64,1,Action,Y
Mario Kart 64,9870000,3966,85.9,86,N64,1,Racing,Y
Pokemon Stadium,5880000,3099,79.3,69,N64,1,RPG,Y
South Park,1140000,3238,66.2,54,N64,1,Action,N
Zelda: Majora's Mask,3360000,2736,92.3,88,N64,1,Action Adventure,Y
Kirby 64: The Crystal Shards,1770000,2770,75.8,77,N64,1,Platformer,Y
Super Smash Bros.,5550000,3198,80.2,87,N64,1,Fighting,Y
Tekken 3,6910000,3499,95.6,81,Playstation,1,Fighting,Y
Final Fantasy IX,5300000,2665,93,87,Playstation,1,RPG,Y
Tony Hawk's Pro Skater 2,4580000,2590,94.6,84,Playstation,1,Sports,N
Toy Story 2,1580000,2885,75.7,70,Playstation,1,Action,N
Madden NFL 98,1280000,3737,84.3,62,Playstation,1,Sports,N
Castlevania: Symphony of the Night,210000,3870,93.5,90,Playstation,1,Action,Y
Final Fantasy VII,9720000,3918,92.4,90,Playstation,1,RPG,N
Tomb Raider II,4940000,3644,82.7,74,Playstation,1,Action Adventure,N
NFL Blitz,1330000,3329,90,72,Playstation,1,Sports,N
Parasite Eve,1940000,3496,76.7,78,Playstation,1,RPG,Y
Twisted Metal,1460000,4371,66.9,74,Playstation,1,Action,Y
Xenogears,890000,3542,90.5,87,Playstation,1,RPG,Y
Metal Gear Solid,5590000,3338,92.7,91,Playstation,1,Action,Y
Mega Man X4,220000,3736,74.4,81,Playstation,1,Action,N
Bushido Blade,430000,3876,81.2,73,Playstation,1,Fighting,Y

