TotalKg,SWR,Equipment,BodyweightKg,Age,Sex
220,1.941747573,Raw,113.3,43,M
370,4.171364149,Raw,88.7,26,F
185,1.881993896,Raw,98.3,27,M
255,1.719487525,Raw,148.3,43,F
615,5.763823805,Wraps,106.7,47,M
547.5,5.08356546,Wraps,107.7,59,M
580.6,6.687399217,Wraps,86.82,30,M
357.5,5.351796407,Raw,66.8,30,M
590,7.301980198,Raw,80.8,22,M
160,1.593625498,Raw,100.4,19,M
263.08,2.923111111,Raw,90,17,M
522.5,5.30995935,Raw,98.4,23,M
210,2.071005917,Single-ply,101.4,41,M
605,6.179775281,Raw,97.9,29,M
352.5,4.763513514,Raw,74,35,F
275,2.094440213,Raw,131.3,32,M
807.5,6.586460033,Raw,122.6,32,M
417.5,4.815455594,Raw,86.7,18,M
187.5,3.145973154,Raw,59.6,20,M
272.5,2.286073826,Single-ply,119.2,47,M
225,3.9543058,Wraps,56.9,25,F
370,5.096418733,Raw,72.6,21,F
495,5.574324324,Wraps,88.8,39,M
580,7.196029777,Wraps,80.6,36,M
510,4.761904762,Raw,107.1,26,M
310,5.535714286,Raw,56,38,F
447.5,4.35311284,Raw,102.8,28,M
302.5,5.387355298,Raw,56.15,21,M
445,6.732223903,Wraps,66.1,56,M
260,3.651685393,Raw,71.2,36,M
161.03,2.147066667,Raw,75,17,F
115.67,1.402060606,Raw,82.5,15,M
285,3.691709845,Raw,77.2,26,F
671,7.539325843,Raw,89,24,M
445,5.466830467,Raw,81.4,21,M
247.5,2.370689655,Raw,104.4,35,F
445,5.473554736,Raw,81.3,21,M
95,1.583333333,Raw,60,24,F
230,1.708766716,Raw,134.6,30,M
625,6.294058409,Raw,99.3,25,M
517.5,4.679023508,Raw,110.6,55,M
110,1.303317536,Raw,84.4,32,F
160,2.756244617,Raw,58.05,18,M
340,3.444782168,Raw,98.7,28,M
648.64,5.071065593,Wraps,127.91,38,M
620,6.512605042,Raw,95.2,19,M
102.5,1.763896059,Single-ply,58.11,58,F
445,5.480295567,Raw,81.2,17,M
452.5,6.077904634,Raw,74.45,35,M
547.5,5.812101911,Wraps,94.2,25,F
220,4.299394176,Wraps,51.17,32,F
260,3.975535168,Raw,65.4,24,F
555,7.530529172,Raw,73.7,22,M
397.5,6.120092379,Wraps,64.95,19,F
312.5,2.367424242,Raw,132,44,M
402.5,4.268292683,Raw,94.3,25,F
735,7.454361055,Raw,98.6,21,M
357.5,5.638801262,Raw,63.4,28,F
582.5,5.344036697,Raw,109,27,M
382.5,4.356492027,Raw,87.8,35,M
690,7.840909091,Wraps,88,22,M
292.5,4.510408635,Raw,64.85,24,F
270,4.864864865,Wraps,55.5,23,F
160,2.551834131,Raw,62.7,18,M
730,5.632716049,Raw,129.6,26,M
815,6.567284448,Raw,124.1,28,M
267.5,2.192622951,Raw,122,40,M
637.5,6.458312228,Raw,98.71,30,M
272.5,4.339171975,Raw,62.8,29,F
175.09,2.048794758,Single-ply,85.46,48,F
385,3.6492891,Raw,105.5,58,M
420,6.031016657,Raw,69.64,24,M
525,4.419191919,Raw,118.8,19,M
215,2.541671592,Raw,84.59,33,M
75,0.710900474,Raw,105.5,39,F
457.5,7.159624413,Raw,63.9,19,M
217.5,1.765422078,Raw,123.2,45,M
442.5,5.971659919,Raw,74.1,20,M
647.5,6.136859065,Raw,105.51,23,M
376.48,5.577481481,Raw,67.5,15,M
647.5,7.332955832,Raw,88.3,21,M
762.5,4.090665236,Single-ply,186.4,19,M
447.5,6.927244582,Wraps,64.6,26,F
647.5,7.250839866,Wraps,89.3,30,M
455,6.066666667,Raw,75,20,M
110,1.247165533,Raw,88.2,30,M
312.5,5.211807872,Wraps,59.96,24,F
745,7.648870637,Raw,97.4,26,M
92.5,1.102371589,Raw,83.91,50,F
410,3.79313535,Raw,108.09,28,F
720,6.127659574,Wraps,117.5,32,M
269.89,3.770466611,Wraps,71.58,34,F
487.5,6.106726794,Raw,79.83,16,M
745,5.963816843,Wraps,124.92,33,M
140,1.596351197,Raw,87.7,52,M
427.5,3.973048327,Raw,107.6,29,M
780,4.977664327,Raw,156.7,23,M
182.5,1.799802761,Raw,101.4,43,F
220,2.219979818,Raw,99.1,58,M
660,7.366071429,Wraps,89.6,22,M
410.5,6.37323397,Wraps,64.41,16,M
302.5,5.058528428,Raw,59.8,22,F
279.87,2.310874412,Single-ply,121.11,21,M
