Spell,Ethnicity,Censored
25,5,1
6,5,0
5,4,0
4,4,1
19,5,1
5,5,0
5,5,0
3,5,1
6,5,0
36,4,1
13,4,0
11,5,0
19,5,1
21,5,1
5,5,0
19,5,0
5,5,0
2,5,0
1,5,0
5,5,1
5,5,0
6,5,1
4,5,0
10,5,0
1,5,0
10,4,0
10,5,1
34,5,1
17,5,0
3,5,1
7,5,0
36,5,1
12,5,0
3,5,1
3,5,0
2,5,1
16,5,0
7,5,1
2,5,0
3,5,0
7,5,0
9,5,1
6,5,1
4,5,0
14,5,0
1,5,0
17,5,1
22,5,1
7,5,0
19,5,1
7,5,0
4,5,0
11,5,0
4,3,0
4,4,1
2,5,0
6,5,0
4,5,1
3,5,0
36,5,1
1,4,0
2,4,0
14,5,0
7,4,1
7,5,0
16,5,0
5,5,0
4,5,0
5,5,0
4,5,0
4,5,0
3,5,0
26,5,1
5,5,0
7,4,0
23,4,0
7,5,0
10,5,1
2,5,1
3,5,0
7,5,1
5,5,0
3,5,0
5,5,0
1,3,1
27,5,1
10,5,0
3,5,0
1,5,0
11,5,0
4,5,0
5,3,1
36,5,1
21,5,1
5,5,1
6,5,0
12,5,1
7,5,0
20,5,0
14,4,0
18,5,1
2,5,1
11,5,0
6,5,0
4,5,0
12,5,1
14,5,1
28,5,1
14,5,0
6,4,0
8,5,1
2,5,0
18,5,0
11,5,0
5,5,1
2,5,0
4,5,1
6,5,0
5,5,0
2,5,0
1,5,0
1,5,0
1,5,1
4,5,1
18,5,0
24,5,1
6,5,0
6,4,0
3,4,1
13,5,1
1,5,0
11,2,0
19,2,1
2,5,0
30,5,1
12,5,0
6,5,0
6,5,0
4,5,0
11,5,0
4,5,0
7,5,0
35,5,1
10,5,0
18,5,1
30,5,1
5,5,0
5,4,1
1,5,0
5,5,0
5,5,0
19,5,1
4,5,1
5,5,0
21,5,1
8,2,0
9,5,0
5,5,0
16,1,0
6,5,0
1,5,0
3,5,1
8,5,1
2,5,0
5,5,0
6,5,0
7,5,0
6,5,0
5,4,0
25,5,1
25,5,1
11,5,0
19,5,0
16,5,0
1,5,0
2,1,0
1,5,0
4,5,1
4,5,1
5,1,0
19,5,1
3,4,1
17,4,1
1,5,0
1,5,0
10,5,1
6,5,0
19,5,1
3,5,0
3,3,1
3,4,0
2,4,1
3,5,0
6,5,0
30,5,1
9,5,0
21,5,0
13,5,1
4,5,1
9,5,0
6,5,0
30,5,1
31,5,1
4,5,0
7,5,0
24,5,1
4,5,0
9,5,0
29,4,1
10,5,0
13,5,0
2,5,0
1,5,1
20,5,1
28,4,1
5,5,0
6,5,1
12,5,0
19,5,1
3,4,0
3,5,0
10,5,1
5,5,0
2,5,1
5,5,0
32,5,1
10,5,1
3,4,0
34,5,1
7,5,0
5,5,1
12,5,0
5,5,1
25,5,1
32,5,1
2,5,1
9,5,0
22,5,1
2,5,1
1,5,1
13,5,0
34,5,1
4,5,0
6,5,0
9,5,1
3,5,0
10,5,0
7,5,0
9,5,1
28,5,1
6,5,0
5,5,0
13,5,0
4,2,0
23,5,0
20,5,0
32,1,1
35,5,1
4,5,0
29,5,1
7,5,0
7,5,1
1,5,0
32,5,1
17,5,0
7,4,0
13,4,1
3,5,0
30,5,1
1,5,0
15,5,0
13,5,0
21,5,0
2,5,0
1,5,1
1,5,0
29,5,1
2,5,0
13,3,1
2,5,0
24,5,1
2,5,1
12,5,1
5,5,0
5,5,0
6,5,1
32,5,1
15,5,1
10,5,0
1,5,0
21,5,1
10,5,0
2,5,0
23,5,0
5,5,1
27,2,1
14,5,1
2,5,0
4,5,0
10,5,1
17,5,1
4,5,0
4,5,0
2,5,0
4,5,0
9,5,0
10,5,0
4,5,0
4,5,0
2,5,0
2,5,0
2,5,0
3,5,1
21,5,1
14,5,0
11,5,0
2,5,0
16,5,0
11,5,0
4,5,0
10,5,1
5,5,0
7,5,0
3,5,0
11,5,0
18,5,1
4,5,0
5,5,0
2,5,0
23,5,0
17,5,0
24,3,0
36,5,1
25,5,1
10,5,0
26,5,1
9,5,0
5,5,0
2,5,0
1,5,1
29,5,0
2,5,0
17,5,0
2,5,0
3,5,0
1,5,0
34,5,1
10,5,0
9,5,1
33,5,1
4,5,1
14,5,1
9,5,0
1,5,0
2,5,0
8,5,0
10,5,0
5,5,0
3,5,0
17,5,1
1,5,0
2,5,1
16,5,1
18,5,0
16,5,1
9,5,0
5,5,1
4,5,0
5,5,0
9,5,0
3,5,0
1,5,0
22,5,1
36,5,1
7,5,0
29,5,0
1,5,0
8,5,0
9,5,0
26,5,1
2,5,0
8,5,0
