date,season,year,month,day_of_week,weekend,holiday,temp_actual,temp_feel,humidity,windspeed,weather_cat,riders_casual,riders_registered,riders_total
2011-01-01,winter,2011,Jan,Sat,TRUE,no,57.3995246,64.72625,0.805833,10.749882,categ2,331,654,985
2011-01-02,winter,2011,Jan,Sun,TRUE,no,58.8246764,63.836510000000004,0.696087,16.652113,categ2,131,670,801
2011-01-03,winter,2011,Jan,Mon,FALSE,no,46.491663200000005,49.04645,0.437273,16.636703,categ1,120,1229,1349
2011-01-04,winter,2011,Jan,Tue,FALSE,no,46.760000000000005,51.09098,0.590435,10.739832,categ1,108,1454,1562
2011-01-05,winter,2011,Jan,Wed,FALSE,no,48.7494266,52.634299999999996,0.436957,12.522300000000001,categ1,82,1518,1600
2011-01-06,winter,2011,Jan,Thu,FALSE,no,47.0808824,52.98881,0.518261,6.0008684,categ1,88,1518,1606
2011-01-07,winter,2011,Jan,Fri,FALSE,no,46.5033236,50.79551,0.498696,11.304642,categ2,148,1362,1510
2011-01-08,winter,2011,Jan,Sat,TRUE,no,44.177,46.60286,0.535833,17.875868,categ2,68,891,959
2011-01-09,winter,2011,Jan,Sun,TRUE,no,42.2089754,42.45575,0.434167,24.25065,categ1,54,768,822
2011-01-10,winter,2011,Jan,Mon,FALSE,no,43.1314754,45.57992,0.482917,14.958889,categ1,41,1280,1321
2011-01-11,winter,2011,Jan,Tue,FALSE,no,44.478915799999996,49.23176,0.686364,8.182844000000001,categ2,43,1220,1263
2011-01-12,winter,2011,Jan,Wed,FALSE,no,44.747252599999996,46.44257,0.599545,20.410009,categ1,25,1137,1162
2011-01-13,winter,2011,Jan,Thu,FALSE,no,44.177,45.57947,0.470417,20.166999999999998,categ1,38,1368,1406
2011-01-14,winter,2011,Jan,Fri,FALSE,no,43.872206,48.957170000000005,0.537826,8.478716,categ1,54,1367,1421
2011-01-15,winter,2011,Jan,Sat,TRUE,no,49.2199754,54.330079999999995,0.49875,10.583521,categ2,222,1026,1248
2011-01-16,winter,2011,Jan,Sun,TRUE,no,49.0970246,53.079530000000005,0.48375,12.625010999999999,categ1,251,953,1204
2011-01-17,winter,2011,Jan,Mon,FALSE,yes,44.9764754,47.90939,0.5375,12.999139,categ2,117,883,1000
2011-01-18,winter,2011,Jan,Tue,FALSE,no,47.9900246,52.90997,0.861667,9.833924999999999,categ2,9,674,683
2011-01-19,winter,2011,Jan,Wed,FALSE,no,53.5624412,58.85798,0.741739,13.957239,categ2,78,1572,1650
2011-01-20,winter,2011,Jan,Thu,FALSE,no,51.311024599999996,54.954499999999996,0.538333,13.125568,categ2,83,1844,1927
2011-01-21,winter,2011,Jan,Fri,FALSE,no,45.0995,46.20497,0.457083,23.667214,categ1,75,1468,1543
2011-01-22,winter,2011,Jan,Sat,TRUE,no,36.36382352,39.116264,0.4,11.52199,categ1,93,888,981
2011-01-23,winter,2011,Jan,Sun,TRUE,no,39.12330146,40.895519,0.436522,16.5222,categ1,150,836,986
2011-01-24,winter,2011,Jan,Mon,FALSE,no,39.18747794,42.6137,0.491739,10.60811,categ1,86,1330,1416
2011-01-25,winter,2011,Jan,Tue,FALSE,no,48.4926764,53.10734,0.616957,8.696332,categ2,186,1799,1985
2011-01-26,winter,2011,Jan,Wed,FALSE,no,48.051500000000004,50.324,0.8625,19.68795,categ3,34,472,506
2011-01-27,winter,2011,Jan,Thu,FALSE,no,46.391,51.772999999999996,0.6875,7.627078999999999,categ1,15,416,431
2011-01-28,winter,2011,Jan,Fri,FALSE,no,47.016676399999994,52.09853,0.793043,8.2611,categ2,38,1129,1167
2011-01-29,winter,2011,Jan,Sat,TRUE,no,46.5033236,51.09134,0.651739,9.739455,categ1,123,975,1098
2011-01-30,winter,2011,Jan,Sun,TRUE,no,47.9793236,54.528980000000004,0.722174,4.956834199999999,categ1,140,956,1096
2011-01-31,winter,2011,Jan,Mon,FALSE,no,45.3454754,48.7625,0.60375,12.541864,categ2,42,1459,1501
2011-02-01,winter,2011,Feb,Tue,FALSE,no,46.1824412,53.1077,0.829565,3.565271,categ2,47,1313,1360
2011-02-02,winter,2011,Feb,Wed,FALSE,no,51.188,54.89753,0.775417,17.708636,categ2,72,1454,1526
2011-02-03,winter,2011,Feb,Thu,FALSE,no,45.7974266,48.00902,0.437826,18.609384,categ1,61,1489,1550
2011-02-04,winter,2011,Feb,Fri,FALSE,no,47.5942352,52.57283,0.585217,8.565213,categ2,88,1620,1708
2011-02-05,winter,2011,Feb,Sat,TRUE,no,49.2199754,53.87522,0.929167,10.792293,categ2,100,905,1005
2011-02-06,winter,2011,Feb,Sun,TRUE,no,53.0944754,58.25039,0.568333,9.5006,categ1,354,1269,1623
2011-02-07,winter,2011,Feb,Mon,FALSE,no,52.049024599999996,59.32922,0.738333,3.0423561,categ1,120,1592,1712
2011-02-08,winter,2011,Feb,Tue,FALSE,no,48.297475399999996,49.84214,0.537917,24.25065,categ1,64,1466,1530
2011-02-09,winter,2011,Feb,Wed,FALSE,no,41.9469854,44.98547,0.494783,12.652213,categ2,53,1552,1605
2011-02-10,winter,2011,Feb,Thu,FALSE,no,42.6528824,45.45932,0.437391,14.869645,categ1,47,1491,1538
2011-02-11,winter,2011,Feb,Fri,FALSE,no,45.9549158,51.215810000000005,0.506364,7.272849999999999,categ1,149,1597,1746
2011-02-12,winter,2011,Feb,Sat,TRUE,no,48.420500000000004,52.965860000000006,0.544167,13.625589,categ1,288,1184,1472
2011-02-13,winter,2011,Feb,Sun,TRUE,no,55.3593236,61.17017,0.457391,17.479160999999998,categ1,397,1192,1589
2011-02-14,winter,2011,Feb,Mon,FALSE,no,62.627,67.8515,0.375833,27.999836,categ1,208,1705,1913
2011-02-15,winter,2011,Feb,Tue,FALSE,no,51.637220600000006,54.88466,0.314348,19.522058,categ1,140,1675,1815
2011-02-16,winter,2011,Feb,Wed,FALSE,no,55.4876618,60.458,0.423478,16.869996999999998,categ1,218,1897,2115
2011-02-17,winter,2011,Feb,Thu,FALSE,no,64.1644754,70.57921999999999,0.505,15.416968,categ1,259,2216,2475
2011-02-18,winter,2011,Feb,Fri,FALSE,no,70.4990246,78.07847,0.516667,17.749975000000003,categ1,579,2348,2927
2011-02-19,winter,2011,Feb,Sat,TRUE,no,61.4585246,67.22636,0.187917,34.000021,categ1,532,1103,1635
2011-02-20,winter,2011,Feb,Sun,TRUE,no,53.0490146,56.9597,0.407826,14.956745,categ1,639,1173,1812
2011-02-21,winter,2011,Feb,Mon,FALSE,yes,54.38597540000001,57.56675,0.605,20.625682,categ2,195,912,1107
2011-02-22,winter,2011,Feb,Tue,FALSE,no,45.4479836,48.74297,0.577778,13.110761,categ1,74,1376,1450
2011-02-23,winter,2011,Feb,Wed,FALSE,no,48.3643382,54.11453,0.423043,6.3055710000000005,categ1,139,1778,1917
2011-02-24,winter,2011,Feb,Thu,FALSE,no,53.8191176,58.02719,0.697391,16.783231999999998,categ2,100,1707,1807
2011-02-25,winter,2011,Feb,Fri,FALSE,no,58.8888824,63.54149,0.712174,23.218113,categ2,120,1341,1461
2011-02-26,winter,2011,Feb,Sat,TRUE,no,52.8485,57.39728,0.537917,12.500257,categ1,424,1545,1969
2011-02-27,winter,2011,Feb,Sun,TRUE,no,57.3486764,63.599810000000005,0.68,8.391615999999999,categ1,694,1708,2402
2011-02-28,winter,2011,Feb,Mon,FALSE,no,62.0567474,68.01061999999999,0.876364,19.408962,categ2,81,1365,1446
2011-03-01,winter,2011,Mar,Tue,FALSE,no,51.680024599999996,55.74911,0.535,14.500475,categ1,137,1714,1851
2011-03-02,winter,2011,Mar,Wed,FALSE,no,56.723,60.80639,0.449583,20.624811,categ1,231,1903,2134
2011-03-03,winter,2011,Mar,Thu,FALSE,no,46.6369754,50.011970000000005,0.318333,15.125518000000001,categ1,123,1562,1685
2011-03-04,winter,2011,Mar,Fri,FALSE,no,51.311024599999996,55.01111,0.610417,13.624182,categ2,214,1730,1944
2011-03-05,winter,2011,Mar,Sat,TRUE,no,60.3515246,66.09011,0.789167,16.875357,categ2,640,1437,2077
2011-03-06,winter,2011,Mar,Sun,TRUE,no,59.7873236,64.96268,0.948261,23.000229,categ2,114,491,605
2011-03-07,winter,2011,Mar,Mon,FALSE,no,51.316338200000004,53.46149,0.551304,22.870584,categ1,244,1628,1872
2011-03-08,winter,2011,Mar,Tue,FALSE,no,53.5865,59.216,0.420833,8.083549999999999,categ1,316,1817,2133
2011-03-09,winter,2011,Mar,Wed,FALSE,no,53.8324754,57.79472,0.775417,14.750050000000002,categ2,191,1700,1891
2011-03-10,winter,2011,Mar,Thu,FALSE,no,60.7149158,66.71012,0,17.545759,categ3,46,577,623
2011-03-11,winter,2011,Mar,Fri,FALSE,no,55.3593236,59.45,0.649565,15.60899,categ2,247,1730,1977
2011-03-12,winter,2011,Mar,Sat,TRUE,no,56.2925246,61.317499999999995,0.594583,14.791924999999999,categ1,724,1408,2132
2011-03-13,winter,2011,Mar,Sun,TRUE,no,60.3648824,66.20819,0.527391,18.130468,categ1,982,1435,2417
