Timestamp,How many hours of sleep did you get last night?,How many cups of coffee did you drink this morning? ,"What is your declared or potential major? (If you are a double major, just write whichever one you think of first.)",What is your anticipated graduation year?,How many stats courses have you taken in the past?,Have you used R or RStudio before? ,"On a scale of 1 to 10, how excited are you about this class?",When is your birthday?,How many unread emails do you have in your inbox right now?
8/26/2021 20:10:33,6.5,3,math,2014,24,"Yes, a lot",10,Not during this semester,5
9/4/2021 13:13:36,7,0,Computer Science,2025,0,"No, never",10,Not during this semester,102
9/6/2021 0:07:47,8,0,econ,2025,0,"Yes, a little",8,During this semester,0
9/6/2021 16:29:27,8,0,math,2024,0,"Yes, a little",8,Not during this semester,3
9/7/2021 23:05:20,7,0,Math,2022,0,"No, never",5,During this semester,0
9/8/2021 8:26:24,7,0,Biology,2023,0,"Yes, a little",4,Not during this semester,0
9/8/2021 8:45:41,5,0,Physics,2023,1,"Yes, a little",6,Not during this semester,9
9/8/2021 8:45:44,2,0,Economics and Computer Science,2024,0,"Yes, a little",8,During this semester,0
9/8/2021 8:46:01,6,0.5,Economics,2023,1,"Yes, a lot",7,Not during this semester,2000
9/8/2021 8:46:05,7,0,Economics,2024,1,"No, never",10,During this semester,5
9/8/2021 8:46:28,6,0,Undecided,2025,1,"No, never",8,Not during this semester,1
9/8/2021 8:46:52,8,0,Media & Cultural Studies,2023,0,"Yes, a little",7,During this semester,2
9/8/2021 8:47:27,7,0,Geology,2024,0,"No, never",8,Not during this semester,3
9/8/2021 8:47:38,8,0,Economics,2025,1,"No, never",7,Not during this semester,148
9/8/2021 8:47:42,7,0,Neuroscience,2023,1,"Yes, a little",7,During this semester,5
9/8/2021 8:47:56,7,0,Political Science,2023,1,"Yes, a little",5,Not during this semester,280
9/8/2021 8:48:29,5,0,Biology (Biochemistry emphasis),2023,1,"Yes, a little",8,Not during this semester,12120
9/8/2021 8:48:31,7,0,Biology,2025,1,"No, never",4,Not during this semester,60
9/8/2021 8:48:42,7,0,International Studies,2023,0,"Yes, a little",3,Not during this semester,0
9/8/2021 8:49:01,6,0,Economics,2024,0,"No, never",5,During this semester,694
9/8/2021 8:49:02,7,1,Economics,2024,1,"No, never",8,Not during this semester,0
9/8/2021 8:49:08,5,0,Economics,2025,1,"No, never",7,Not during this semester,51
9/8/2021 8:49:11,7,0,Biology,2022,1,"Yes, a little",8,Not during this semester,8
