PN,PS,DN,DS
28,21,8,4
31,32,4,8
11,28,0,8
47,19,0,3
31,22,11,3
9,1,0,1
5,7,0,0
66,66,5,13
3,4,4,1
33,13,7,1
12,5,2,0
5,7,1,0
10,9,2,2
3,6,1,2
50,25,5,2
8,19,1,2
8,10,1,3
11,19,1,2
6,5,0,2
41,31,5,5
17,18,1,5
5,2,1,1
9,1,1,0
12,8,1,1
4,3,0,0
5,3,21,11
22,12,5,2
7,4,0,1
21,8,16,12
25,17,7,14
0,1,1,0
6,1,1,6
0,0,2,1
0,0,5,4
4,6,1,8
0,0,9,7
0,0,1,2
18,16,4,6
0,5,0,3
10,7,1,4
3,2,1,1
1,0,1,1
8,16,0,5
3,11,0,4
3,1,5,0
16,20,0,1
25,5,5,5
3,2,1,2
10,6,3,0
26,27,7,13
12,10,2,6
7,6,3,4
3,0,2,1
24,18,2,6
8,2,1,2
14,12,2,3
34,38,2,3
26,16,4,4
60,59,15,11
1,3,0,0
10,12,1,5
10,18,1,2
33,18,4,0
1,0,0,0
11,14,3,6
26,17,5,3
6,5,4,3
10,6,1,1
11,6,1,2
65,39,6,6
3,9,2,0
20,41,0,8
14,8,2,1
1,2,1,1
21,13,1,2
2,8,0,2
0,0,2,0
0,0,5,14
3,5,0,1
24,19,3,7
15,12,2,4
38,10,4,6
4,10,1,4
11,15,0,5
4,5,0,2
8,2,1,1
8,7,3,3
29,26,1,4
0,1,0,0
30,24,9,10
7,0,0,2
4,4,3,2
4,2,1,1
13,10,2,0
12,22,0,9
26,34,2,6
9,5,0,1
14,14,5,3
29,11,0,2
9,12,1,4
7,10,2,0
32,26,2,4
3,11,0,3
9,6,0,0
11,8,0,1
4,2,4,0
11,23,1,7
15,15,2,8
4,5,0,0
1,0,0,0
3,1,36,31
1,0,0,1
10,15,1,3
15,16,2,9
5,10,0,3
3,3,0,0
1,2,1,0
7,4,1,1
13,13,0,4
32,37,3,6
28,13,9,8
1,3,1,2
26,13,6,2
3,3,0,1
14,15,3,4
16,31,0,6
6,4,1,3
4,8,0,0
36,24,3,11
7,3,1,0
11,5,0,0
7,6,1,2
2,4,0,0
14,3,1,1
5,0,0,0
72,21,9,5
20,18,0,4
8,15,5,6
6,3,0,1
6,4,2,0
5,15,1,2
24,16,4,4
7,14,2,7
18,8,5,2
19,11,7,5
13,7,2,2
54,44,8,17
4,7,0,2
11,7,3,1
20,9,3,2
7,4,0,0
24,15,4,3
0,0,2,3
31,11,5,4
0,0,9,5
10,10,8,4
3,8,0,1
5,7,1,0
31,31,2,7
10,17,0,1
8,1,0,1
2,2,0,2
47,23,7,6
2,3,0,0
4,5,2,3
7,8,0,2
8,10,5,1
18,6,1,1
14,11,3,2
10,9,1,3
2,3,0,3
21,5,1,4
27,16,1,2
8,9,2,2
23,13,0,2
10,14,3,3
17,12,8,20
5,14,1,6
2,5,2,1
8,7,1,3
16,7,2,0
13,24,0,6
15,3,2,2
9,4,2,0
9,8,0,1
1,1,0,0
21,8,5,2
5,6,1,1
88,49,9,17
6,3,0,0
27,27,9,7
5,2,0,3
24,15,0,2
23,13,2,3
27,16,2,4
19,18,1,3
2,7,0,8
37,39,2,10
6,5,0,1
10,11,0,3
34,11,12,5
9,15,2,3
32,22,4,3
22,15,1,1
6,6,0,2
56,62,8,32
21,11,0,10
2,4,0,0
21,8,2,1
7,12,1,1
0,4,1,1
0,1,0,1
5,5,1,1
11,12,2,3
21,11,2,8
9,8,0,0
8,3,2,0
6,2,1,0
4,4,2,0
3,3,1,0
8,1,0,0
4,3,3,2
1,2,6,1
4,2,5,0
46,26,7,7
3,6,0,2
3,4,0,0
2,3,0,0
23,13,0,0
10,12,0,0
46,30,4,7
10,6,0,1
6,6,0,1
19,10,2,6
9,12,4,6
0,0,9,2
12,11,0,4
12,16,0,5
6,7,1,0
7,2,0,2
150,97,21,31
21,11,1,0
0,3,0,0
1,12,0,2
20,11,5,6
37,24,3,5
1,2,2,0
5,6,1,1
7,6,1,1
15,21,1,7
14,6,4,1
2,2,0,0
0,8,0,5
24,12,4,4
6,5,2,3
2,3,0,2
9,11,1,4
3,0,2,0
4,4,0,1
12,14,0,2
7,3,1,2
7,6,0,1
4,2,2,1
1,1,0,1
22,13,3,3
1,3,0,3
1,2,0,0
11,6,1,2
4,7,0,1
11,8,1,1
5,9,0,2
56,41,11,7
21,8,0,4
11,7,2,1
23,9,2,2
16,7,0,2
11,3,2,3
9,3,0,1
2,4,0,0
12,7,0,1
2,1,0,0
5,9,0,3
7,3,1,3
26,9,12,5
4,1,3,4
3,0,0,0
22,6,9,6
2,6,0,2
12,8,0,3
9,9,1,4
15,13,5,7
7,7,0,1
10,2,2,0
10,7,1,3
3,0,1,2
8,6,1,0
19,10,3,5
10,5,0,3
8,7,0,2
3,2,0,0
7,5,1,0
3,3,0,0
23,9,4,2
24,12,1,0
16,9,1,1
1,1,0,2
21,17,3,2
4,0,0,0
18,15,9,5
24,7,1,3
1,3,1,0
4,0,2,3
0,0,0,1
7,10,1,1
23,25,0,4
2,7,0,2
2,2,0,2
6,6,0,2
17,2,1,2
9,0,2,2
2,4,2,1
10,9,2,2
1,5,0,0
13,9,1,0
12,17,0,4
8,13,0,0
3,6,0,1
13,6,0,0
35,11,5,5
7,3,0,1
5,5,0,0
4,9,0,1
4,6,5,8
24,28,3,11
4,9,0,4
1,2,0,1
4,6,0,0
3,4,0,0
1,6,0,1
9,11,2,0
3,1,1,1
13,7,1,1
5,8,1,0
9,0,1,1
6,1,2,2
4,3,0,1
2,0,0,1
5,11,0,3
3,1,0,0
13,10,2,3
5,8,1,1
2,6,0,1
3,2,1,0
1,2,2,1
1,9,0,0
1,3,0,0
4,6,0,3
12,8,4,3
3,8,0,1
10,6,0,1
13,6,1,0
27,33,2,3
7,11,2,5
4,6,1,0
13,13,2,1
8,9,1,3
1,5,0,2
2,2,1,6
2,2,0,3
4,2,0,0
10,7,2,0
9,5,1,3
7,3,2,1
43,21,3,3
13,22,1,6
26,14,11,2
1,1,0,0
4,5,0,0
1,8,1,0
2,2,0,2
10,7,0,2
4,2,0,0
11,4,4,0
10,5,1,2
2,2,2,1
3,0,0,4
3,5,0,1
0,0,0,2
3,8,1,5
2,3,0,0
0,1,0,1
6,2,1,0
3,3,1,5
3,4,1,1
2,2,2,0
3,5,0,1
5,2,1,1
24,14,2,7
9,8,1,1
5,5,1,1
3,0,0,2
11,6,1,0
0,2,0,0
7,14,1,1
6,2,0,0
10,8,1,1
7,14,2,3
3,7,0,1
20,10,2,1
6,12,6,2
59,51,4,14
9,6,1,0
16,11,2,3
6,8,1,4
13,14,3,2
12,7,0,3
8,7,0,1
1,1,0,0
10,14,0,1
2,3,0,1
14,9,2,2
16,11,1,2
3,15,0,6
8,10,4,1
13,8,2,4
7,7,0,3
9,8,0,1
1,1,0,0
5,4,1,0
33,5,5,1
4,3,0,0
0,9,0,0
3,9,0,3
19,2,3,2
6,3,0,3
11,16,2,1
0,1,0,1
11,16,4,1
17,9,0,4
5,1,1,0
16,6,8,4
6,1,0,2
6,14,1,3
1,1,0,0
9,4,4,1
6,3,3,2
18,14,8,7
8,25,1,8
15,12,1,3
1,2,0,2
7,9,1,2
10,6,0,1
18,7,1,0
12,3,2,1
4,3,1,2
5,3,2,0
30,26,6,4
3,2,0,1
2,2,0,1
3,0,1,0
6,6,2,2
15,8,2,3
0,5,0,1
12,3,1,5
5,2,0,0
2,4,0,0
2,1,0,0
11,7,1,0
6,0,1,4
3,1,0,1
3,0,0,0
70,57,22,29
16,8,3,2
3,8,0,1
8,8,3,1
8,8,1,2
6,2,3,2
12,7,4,1
11,4,1,2
8,7,2,2
4,10,1,5
8,8,6,2
4,3,1,0
23,18,0,8
3,3,1,0
5,6,1,1
23,11,3,3
5,6,0,2
20,10,2,6
12,7,1,0
12,4,2,2
6,5,3,1
4,6,0,0
1,4,1,1
5,13,0,1
7,4,1,1
4,9,0,2
20,10,2,0
9,2,1,1
11,1,0,0
67,52,9,15
3,2,1,0
9,1,0,1
10,9,0,3
1,6,0,4
8,5,2,2
6,5,2,0
10,10,4,1
1,1,0,1
3,1,0,0
8,3,0,2
26,16,2,4
8,3,0,1
18,11,3,2
1,1,1,1
5,14,0,1
33,10,2,4
6,5,0,1
7,8,0,0
3,2,0,1
16,17,3,4
12,9,1,1
4,7,0,1
4,5,1,1
3,2,0,0
45,38,6,15
10,4,0,2
24,43,4,13
10,9,1,3
3,4,0,1
2,1,1,1
6,16,0,1
0,1,0,0
10,4,2,4
8,6,1,0
8,11,2,1
13,13,4,2
7,14,0,3
0,4,1,0
9,6,0,2
0,0,1,2
6,3,0,4
12,9,2,1
0,6,0,0
5,4,0,2
10,13,1,1
1,2,1,1
5,3,2,2
31,22,0,7
4,4,1,3
13,15,1,4
6,2,1,0
16,16,2,3
6,3,1,2
13,8,3,0
14,7,2,1
15,5,0,2
9,7,0,3
4,0,0,0
12,7,0,2
16,8,1,1
16,11,3,2
8,6,0,3
6,2,3,2
9,8,0,0
23,12,0,4
5,2,0,1
3,5,1,1
8,8,1,2
7,4,1,0
20,14,3,2
12,14,0,1
1,2,0,1
8,3,0,0
12,9,0,0
9,13,1,1
3,2,3,0
4,3,4,2
5,3,0,1
5,4,0,0
4,0,6,1
8,4,1,0
22,8,5,1
12,5,1,2
8,6,3,1
2,3,0,3
8,3,1,0
20,7,13,4
3,2,0,1
4,9,1,4
26,12,2,7
9,3,0,1
5,4,0,0
14,4,1,0
3,3,0,2
7,11,1,4
4,9,1,1
5,2,0,0
6,1,0,1
0,3,0,0
3,11,3,6
20,13,2,1
12,6,0,2
14,10,1,6
5,3,1,1
11,7,0,0
4,1,0,0
26,12,6,4
30,9,0,2
25,9,4,4
0,3,0,2
13,19,4,5
1,3,0,3
2,1,1,1
2,1,0,1
2,11,0,2
15,2,3,2
6,2,1,2
2,7,0,0
29,16,2,3
15,17,0,4
20,10,1,3
3,2,0,0
0,1,0,0
20,18,6,7
14,3,2,1
18,20,4,3
9,5,3,4
6,0,1,0
2,5,2,2
5,1,2,0
8,4,1,5
7,3,3,1
2,3,1,1
3,1,2,1
10,5,1,4
18,7,2,1
10,5,3,1
5,0,1,0
2,5,0,1
17,11,2,3
23,13,5,7
51,25,8,4
11,4,2,1
6,6,0,1
19,13,0,5
18,7,4,5
6,9,1,5
8,6,0,0
8,8,0,0
34,14,3,1
23,33,0,13
2,8,1,1
3,6,1,1
16,5,7,5
19,9,0,3
20,8,3,5
11,3,0,0
18,6,2,2
11,4,0,2
16,6,2,1
7,7,0,1
17,6,3,1
6,8,0,3
16,9,2,1
16,8,3,0
3,4,0,0
4,2,1,0
48,22,4,5
24,19,5,3
39,29,4,3
7,9,3,2
5,5,1,0
17,15,0,7
4,5,0,0
9,5,1,4
9,6,3,2
3,2,1,0
1,0,0,0
19,7,1,0
13,10,2,3
8,11,0,7
9,4,2,0
21,16,1,1
7,6,2,1
7,15,1,4
5,4,0,1
16,18,1,5
2,0,0,1
22,15,6,4
6,7,1,2
6,1,0,1
17,11,1,2
4,2,3,1
6,0,0,1
21,12,5,5
7,8,0,1
2,4,1,2
10,5,3,0
12,8,2,0
24,10,4,5
5,3,0,0
0,5,0,0
0,1,0,0
2,5,0,0
11,7,0,3
10,9,0,2
10,3,0,0
15,7,3,2
17,22,1,2
2,9,0,1
5,6,1,2
3,1,3,1
10,1,1,2
10,6,1,2
3,3,0,0
5,7,0,1
21,7,6,0
15,14,1,3
4,3,2,1
40,20,11,3
46,17,16,10
7,6,2,6
4,3,0,1
4,5,0,3
13,11,1,6
4,6,0,2
4,4,0,0
17,6,4,1
6,1,1,0
9,2,0,2
6,3,0,0
7,7,0,4
8,10,0,0
7,8,3,1
8,12,1,3
7,4,0,4
11,7,1,1
5,6,0,1
3,2,0,0
7,5,1,0
5,5,2,2
23,4,4,3
10,6,5,5
12,5,0,3
22,13,2,2
6,7,0,4
2,2,0,0
2,3,0,0
7,5,0,4
12,4,0,2
0,2,0,0
7,7,1,0
4,1,1,0
7,3,1,3
10,9,1,3
17,7,0,1
6,9,0,0
17,13,2,6
26,16,7,5
4,3,0,0
4,4,0,0
2,5,0,0
6,6,0,0
10,9,2,1
42,21,8,5
14,12,7,1
17,13,5,2
21,12,0,4
20,10,5,6
3,3,0,1
2,4,0,2
5,4,1,3
4,4,1,2
1,3,0,0
8,12,3,1
2,2,0,3
9,5,1,0
0,0,0,2
7,1,4,7
6,2,2,5
17,0,0,2
21,6,1,3
21,8,3,5
11,5,4,1
23,10,2,2
6,10,2,4
12,8,0,1
12,6,3,4
6,4,1,1
8,7,2,3
28,13,4,5
24,14,3,6
12,6,2,0
17,15,2,6
28,7,2,2
3,1,0,0
8,2,0,0
21,9,9,3
4,0,0,0
13,2,3,0
8,6,2,2
9,7,0,1
10,6,1,0
1,4,0,0
3,9,0,0
3,2,0,0
5,1,1,0
31,17,5,1
2,2,0,0
3,8,0,1
27,16,3,4
14,4,0,2
3,3,0,1
64,46,3,10
20,11,5,2
7,7,0,3
12,1,1,2
13,8,1,0
2,1,1,0
5,4,2,3
4,2,1,0
8,5,1,0
0,8,0,1
25,7,0,10
9,7,2,1
0,6,0,0
11,11,0,4
12,6,3,0
13,7,2,3
37,13,1,6
3,2,1,0
2,3,0,0
9,8,0,1
7,3,0,1
5,4,2,0
10,1,0,0
7,6,1,0
10,11,1,2
2,1,0,0
14,3,3,3
6,4,1,0
4,3,1,3
4,1,0,5
5,4,2,1
5,5,1,2
35,23,1,7
1,1,0,3
0,0,2,4
7,9,0,4
1,9,0,2
11,12,2,3
9,5,3,0
3,1,0,1
9,7,0,2
4,5,0,0
26,14,5,6
9,6,1,2
20,14,7,5
10,8,0,3
13,11,2,2
9,7,0,2
0,1,0,0
2,0,0,0
7,3,0,2
24,24,2,3
7,4,0,0
49,51,5,3
13,6,2,0
12,7,1,3
10,4,3,3
0,2,0,0
7,3,0,2
13,7,5,1
4,3,0,1
2,4,0,0
3,4,0,4
4,4,0,0
4,2,0,0
8,14,1,1
4,5,8,4
11,3,1,0
9,3,3,2
6,1,1,0
21,10,1,0
12,9,0,2
4,8,0,1
6,11,0,3
6,5,0,4
7,3,0,1
8,14,0,2
9,8,0,6
5,20,0,2
11,3,1,0
5,5,1,0
4,1,0,0
14,11,1,5
1,9,1,1
12,5,4,2
4,2,0,0
14,1,1,0
3,1,0,0
4,2,0,1
8,9,0,1
12,9,1,2
28,13,1,0
7,3,0,1
25,8,3,2
4,4,1,2
6,4,0,0
3,0,0,1
13,8,1,1
0,2,0,0
3,3,0,0
21,7,1,2
4,17,0,1
7,10,1,2
5,4,0,2
14,7,1,1
5,2,0,0
9,15,0,6
1,1,0,1
11,6,2,0
3,3,1,0
8,6,2,1
23,11,1,1
17,12,6,4
8,10,0,1
3,7,0,2
13,3,1,0
3,1,3,0
15,8,2,2
10,8,0,3
9,8,0,4
6,6,0,0
11,9,0,0
10,16,1,4
3,3,0,0
16,11,1,4
22,11,1,2
0,2,0,0
5,6,0,1
3,4,0,3
10,9,4,5
1,0,2,0
4,5,0,0
4,4,1,4
12,7,1,3
10,6,0,2
0,2,0,1
9,12,1,2
8,8,2,1
5,18,0,2
6,2,1,3
26,25,1,7
4,2,0,1
5,3,1,2
13,15,4,2
32,20,7,6
33,16,4,2
14,7,6,5
6,3,0,1
4,9,2,1
3,8,2,6
4,8,0,2
19,9,2,3
52,25,10,14
9,6,0,4
9,7,0,2
5,4,1,2
10,4,1,4
10,12,1,2
5,6,1,0
10,4,0,2
9,5,2,1
6,3,0,0
21,6,1,5
27,8,12,15
23,9,6,1
12,7,2,0
1,6,1,2
8,9,1,1
7,6,1,0
37,20,4,5
3,3,3,0
4,6,1,2
2,1,8,4
3,2,0,1
6,1,1,1
5,5,0,1
5,3,4,0
7,5,2,1
6,14,0,2
6,7,0,1
14,3,1,1
6,7,3,1
9,4,2,4
12,1,0,1
5,3,1,0
1,1,0,1
1,4,0,0
14,2,1,1
19,10,1,1
1,2,1,1
1,4,1,0
4,2,1,0
9,2,0,1
7,5,3,0
1,3,0,0
4,2,0,0
22,10,3,5
4,13,0,0
8,6,2,1
11,8,2,0
2,5,0,0
17,17,0,2
31,15,4,3
10,3,2,2
1,5,0,1
1,1,0,3
3,2,0,0
6,2,0,2
6,1,1,1
5,1,3,3
8,4,2,5
5,7,0,0
8,4,0,2
5,3,2,0
6,2,2,0
0,2,0,0
0,0,0,2
18,5,7,2
54,18,5,4
26,13,1,0
5,4,97,59
149,44,88,35
28,21,11,4
13,5,4,2
6,3,2,1
2,2,1,0
9,2,1,2
4,1,0,1
2,2,2,2
1,0,3,1
7,5,1,3
4,1,2,2
18,1,0,0
26,11,5,5
9,8,3,0
7,3,2,1
1,0,0,0
3,2,2,1
1,3,1,0
3,4,4,1
32,16,13,7
3,1,0,1
2,3,0,0
1,2,2,2
3,4,0,0
0,1,0,0
1,2,0,0
1,1,3,1
4,2,2,0
4,6,2,2
11,10,0,0
14,3,1,3
2,0,1,2
2,3,1,1
1,1,0,2
3,0,1,2
4,1,0,0
6,1,0,1
2,5,0,0
5,2,0,0
2,0,0,1
1,2,1,0
1,0,1,0
0,2,2,0
1,1,0,0
4,2,0,1
0,5,0,0
1,5,0,0
20,11,0,7
17,17,1,5
6,1,2,1
0,3,0,1
16,2,0,0
3,3,0,1
6,0,0,0
22,15,2,4
1,0,0,1
2,2,0,0
6,5,0,0
3,6,1,2
5,1,0,1
4,3,0,0
13,21,3,9
9,7,0,4
9,5,1,2
8,7,0,0
1,3,0,1
5,4,0,3
16,17,2,5
8,6,0,2
7,3,0,1
7,6,3,2
9,5,1,2
11,7,1,3
1,0,0,0
11,3,3,2
3,1,0,0
6,5,0,3
16,7,1,6
20,6,6,3
19,11,3,2
1,3,1,0
2,2,0,0
3,3,0,0
4,1,0,1
1,2,0,0
1,0,0,0
2,0,0,1
10,9,0,4
12,11,0,2
10,10,1,1
5,4,1,1
12,6,3,2
7,1,0,1
18,5,1,2
25,19,3,8
14,5,7,5
23,11,7,3
5,6,1,2
25,18,8,10
7,6,0,1
2,2,1,0
3,3,0,2
9,6,2,0
8,12,4,2
0,3,0,0
7,5,0,4
0,2,0,0
7,3,0,1
3,4,0,0
6,16,1,2
17,7,0,4
1,3,0,0
5,4,3,0
6,5,0,0
5,2,3,1
13,14,2,0
15,4,1,0
13,4,1,3
5,1,1,2
7,7,0,2
2,0,0,1
13,6,3,2
2,1,0,0
2,9,1,2
49,15,2,5
15,10,2,0
6,3,0,0
10,5,3,0
4,1,0,0
15,16,2,3
38,16,12,5
0,7,0,0
9,4,0,2
10,2,2,0
3,1,0,0
7,7,1,1
12,4,0,1
8,4,1,1
22,23,1,2
27,18,1,4
23,26,2,1
12,10,1,3
29,10,4,4
17,8,1,0
5,8,2,2
31,13,11,7
17,9,4,5
28,8,5,2
11,6,5,3
11,10,2,2
12,2,1,3
13,14,1,2
8,3,2,2
9,4,2,2
5,8,1,3
4,3,0,1
17,10,4,2
18,6,1,0
13,5,2,2
17,5,1,0
12,7,5,1
19,10,1,2
12,4,5,0
10,2,1,1
91,44,28,15
14,6,8,1
11,9,5,0
17,10,2,0
12,5,1,1
8,7,2,0
7,7,1,5
8,6,8,3
19,6,7,0
5,3,5,3
2,8,0,6
3,0,2,1
4,3,1,3
10,0,2,1
13,3,1,4
12,2,2,1
3,3,2,0
4,5,1,0
5,2,0,1
3,4,5,1
1,7,0,0
6,3,0,5
4,4,0,1
1,4,0,0
7,13,0,0
7,16,0,8
23,22,3,3
4,4,1,1
0,1,0,0
6,11,0,0
1,6,0,1
9,13,1,2
5,16,1,2
1,1,0,1
8,10,0,3
5,4,6,0
8,3,0,0
8,5,2,1
6,7,1,0
9,5,4,1
17,8,6,7
16,5,11,1
9,10,4,2
11,7,0,2
6,5,0,0
5,1,0,2
1,3,0,1
19,11,1,4
10,8,0,2
9,3,1,2
1,0,0,0
2,3,0,2
4,3,1,3
6,3,0,2
4,4,1,3
23,12,1,2
7,4,1,0
3,1,3,0
1,3,0,1
3,2,0,3
9,5,0,1
0,1,0,0
6,4,0,2
0,3,7,8
1,2,1,0
12,9,1,1
15,5,1,4
6,7,3,1
7,6,0,5
14,4,1,2
16,3,2,1
6,4,0,1
11,12,2,6
21,12,4,8
4,2,0,1
5,14,0,3
12,5,0,0
6,3,0,2
3,1,0,0
1,4,0,2
5,5,0,2
6,13,1,2
3,6,1,0
6,4,3,1
7,2,0,2
2,1,3,0
7,9,0,1
2,2,1,1
5,10,0,0
4,8,0,2
3,7,0,1
3,1,0,0
9,8,0,3
5,2,1,0
3,3,0,1
2,5,0,2
4,10,1,2
1,2,0,2
9,7,0,2
11,6,2,2
12,4,5,3
10,11,0,2
1,3,0,1
2,2,0,1
11,12,0,2
4,2,1,1
32,23,6,6
0,1,0,0
12,8,1,4
