group,rtemp,length,vmax
c,5,5.25,27.52
c,5,5.26,9.43
c,5,4.73,18.75
c,5,5.32,15.63
c,5,5.38,18.75
c,5,5.1,23.62
c,5,5.35,24.79
c,5,5.26,18.87
c,5,5.31,16.04
w,5,4.77,12.15
w,5,4.56,14.42
w,5,4.58,7.92
w,5,5,17.65
w,5,4.65,18.18
w,5,4.22,20.98
w,5,4.76,9.43
w,5,4.89,17.54
c,15,5.64,36.59
c,15,4.99,34.48
c,15,5.24,30.61
c,15,6.07,38.96
c,15,5.85,24.79
c,15,5.25,30.61
c,15,5.02,32.26
c,15,5.67,34.09
c,15,5.04,34.09
c,15,5.27,24.79
c,15,5.8,32.26
c,15,4.96,28.57
c,15,4.87,34.09
w,15,4.89,21.9
w,15,4.59,24.79
w,15,4.06,16.57
w,15,5.29,25.86
w,15,4.64,30.3
w,15,4.53,27.27
w,15,4.09,19.48
w,15,4.82,24.79
w,15,5.31,31.91
w,15,5,30.3
w,15,4.94,27.27
w,15,4.64,24.79
w,15,4.87,27.27
w,15,4.75,27.27
w,15,4.56,30.3
w,15,5.07,20.98
w,15,5.03,20.13
w,15,5.01,21.13
w,15,4.67,30.61
w,15,4.37,28.85
c,25,5.29,20.98
c,25,5.35,27.27
c,25,5.29,31.91
c,25,5.89,36.14
c,25,5.16,31.91
c,25,4.84,36.59
c,25,5.56,32.26
c,25,5.52,38.96
c,25,5.09,25.86
c,25,5.51,34.09
c,25,5.17,32.26
c,25,5.52,22.73
c,25,5.64,30.61
c,25,5.29,38.96
c,25,5.52,24.79
c,25,4.75,27.27
w,25,4.45,38.96
w,25,4.48,24.79
w,25,4.08,24.79
w,25,4.95,20.98
w,25,4.97,27.27
w,25,5.11,23.81
w,25,4.44,23.81
w,25,4.64,36.14
w,25,4.97,26.09
w,25,5,30.61
w,25,4.98,31.91
w,25,4.62,22.73
w,25,5,27.27
w,25,5.04,38.96
w,25,4.97,27.27
w,25,4.77,23.62
w,25,4.63,28.57
w,25,4.89,27.27
w,25,4.66,21.9
w,25,4.82,22.73
c,30,5.36,23.62
c,30,6.17,30.3
c,30,5.68,24.79
c,30,5.26,27.27
c,30,4.78,28.57
c,30,5.83,25.86
c,30,5.33,21.74
c,30,4.96,30.3
c,30,5.35,15.15
w,30,4.62,22.73
w,30,4.19,20.98
w,30,4.57,13.33
w,30,4.79,19.61
w,30,4.91,34.09
w,30,5.43,28.85
w,30,4.8,28.57
w,30,4.81,25.86
w,30,4.82,24.79
w,30,5.04,25.86
w,30,5,27.27
w,30,3.95,34.09
c,35,5.28,18.18
c,35,5.51,13.33
w,35,4.59,21.13
w,35,4.76,20.27
w,35,4.87,25.86
w,35,5.2,24.79
w,35,4.66,18.29
w,35,4.24,15.15
w,35,4.14,19.48
w,35,4.11,18.87
w,35,4.81,27.52
w,35,4.63,26.09
w,35,4.46,27.52
w,35,4.83,20.98
